"기간별(1)","시점",건수 (건),면적 (ha),건당 피해면적 (ha),피해재적 (㎥),피해금액 (백만원)
"10년 평균","2019",440,857,1.9,100486,50420
"10년 평균","2020",474,1120,2.4,148015,65789
"10년 평균","2021",481,1087,2.0,143325,66496
"10년 평균","2022",537,3560,6.6,435634,200869
"금년","1997",524,2330,4.4,40815,1629
"금년","1998",265,1014,3.8,44092,2516
"금년","1999",315,473,1.5,6377,665
"금년","2000",729,25953,35.6,1373302,65242
"금년","2001",785,963,1.2,33753,2717
"금년","2002",599,4467,7.5,324120,8953
"금년","2003",271,133,0.5,2444,277
"금년","2004",544,1588,2.9,52787,4069
"금년","2005",516,2067,4.0,113830,7526
"금년","2006",405,254,0.6,7808,433
"금년","2007",418,230,0.6,6467,377
"금년","2008",389,227,0.6,4580,436
"금년","2009",570,1381,2.4,91626,3883
"금년","2010",282,297,1.1,11168,4451
"금년","2011",277,1090,3.9,52544,29063
"금년","2012",197,72,0.4,2467,2541
"금년","2013",296,552,1.9,66765,25020
"금년","2014",492,137,0.3,6962,9285
"금년","2015",623,418,0.7,31591,20480
"금년","2016",391,378,1.0,6647,15721
"금년","2017",692,1480,2.1,224172,80150
"금년","2018",496,894,1.8,100710,48583
"금년","2019",653,3255,5.0,501836,268910
"금년","2020",620,2920,4.7,486459,158141
"금년","2021",349,766,2.2,5641,36125
"금년","2022",756,24797,32.8,2925560,1346276
