일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계),습도(%),열지수
2019-05-01,서울(108),NO,21.9,22.2,16.4,11.2,48.9,NO, ,NO,높음,51.6,16.19
2019-05-02,서울(108),NO,22.2,25.3,17.1,10.6,28.5,NO, ,NO,높음,28,17.12
2019-05-03,서울(108),NO,23.4,26.1,17.9,10.1,37.5,NO, ,NO,매우높음,35.6,17.81
2019-05-04,서울(108),NO,25,27.4,19.5,12,40.4,NO, ,NO,높음,41.4,19.27
2019-05-05,서울(108),NO,23.2,26.5,19.2,13.6,35.8,NO, ,NO,높음,35.7,19.42
2019-05-06,서울(108),NO,16.9,19.8,14.5,9.8,27.1,NO, ,NO,높음,29.1,14.61
2019-05-07,서울(108),NO,19.6,21.9,15,8.4,33.4,NO, ,NO,매우높음,31.5,14.97
2019-05-08,서울(108),NO,20.2,21.3,15.6,10.1,48.3,NO, ,NO,매우높음,46.3,15.51
2019-05-09,서울(108),NO,20.5,22.9,16.6,11.7,43.3,NO, ,NO,높음,44.4,16.64
2019-05-10,서울(108),NO,24.9,26.8,17.8,10.3,48,NO, ,NO,높음,48.1,17.57
2019-05-11,서울(108),NO,26.1,28.3,20.3,13.2,39,NO, ,NO,매우높음,39.9,20.14
2019-05-12,서울(108),NO,26.4,28.9,21.6,14.7,36,NO, ,NO,매우높음,36.6,21.48
2019-05-13,서울(108),NO,21.6,22.8,18.7,15.5,43.4,NO, ,NO,높음,42.3,18.82
2019-05-14,서울(108),NO,24.8,26.9,19.6,12.9,44.5,NO, ,NO,높음,43.8,19.55
2019-05-15,서울(108),NO,25.7,28,20.7,14.8,48.1,NO, ,NO,높음,48.3,20.6
2019-05-16,서울(108),NO,27.8,30,23.5,16.7,43.8,NO, ,NO,매우높음,44.6,23.24
2019-05-17,서울(108),NO,26.8,28.3,23.6,17.6,44.9,NO, ,NO,높음,45.6,23.44
2019-05-18,서울(108),NO,25.2,25.9,22.8,19.1,46.8,NO, ,NO,높음,47,22.86
2019-05-19,서울(108),NO,24.3,21.6,19.4,17.9,93,NO, ,NO,보통,88.9,19.62
2019-05-20,서울(108),NO,23.2,20.2,16.4,13,63.6,NO, ,NO,높음,63.8,16.95
2019-05-21,서울(108),NO,21.7,23.8,17.2,11.7,52,NO, ,NO,높음,51.8,17.1
2019-05-22,서울(108),NO,23.6,26.5,19.5,12.3,46,NO, ,NO,매우높음,46.7,19.24
2019-05-23,서울(108),NO,26.6,29.2,22.1,15,45,NO, ,NO,매우높음,45.1,21.93
2019-05-24,서울(108),NO,31,33.4,24.2,16.2,46.4,NO, ,NO,매우높음,45.5,24.11
2019-05-25,서울(108),NO,25.7,28.6,23.4,18.4,45.6,NO, ,NO,매우높음,45.6,23.5
2019-05-26,서울(108),NO,28.1,31.1,24.5,18.6,39,NO, ,NO,매우높음,39.4,24.45
2019-05-27,서울(108),NO,22.9,22.3,17.8,14.3,80.9,NO, ,NO,보통,79.6,18.55
2019-05-28,서울(108),NO,22.5,24.6,18.1,11.9,45.9,NO, ,NO,매우높음,45.1,17.96
2019-05-29,서울(108),NO,24.5,26.5,20.3,13.3,48.4,NO, ,NO,매우높음,49.5,20.04
2019-05-30,서울(108),NO,23.3,24.5,19.6,14.6,48,NO, ,NO,높음,47.7,19.72
2019-05-31,서울(108),NO,22.4,23.3,19.1,16.1,49.6,NO, ,NO,매우높음,48.8,19.25
2019-06-01,서울(108),NO,23.4,23.7,18.9,14.8,60.5,NO, ,NO,높음,60,18.83
2019-06-02,서울(108),NO,25.6,27.8,21.1,14.1,42.1,NO, ,NO,매우높음,44.8,20.9
