
열대야일수
[검색조건]
자료구분 : 월
지역/지점 : 제주
기간 : 1973~2022 05~09

년월,열대야일수,평균 최고기온(℃)
1973-05,0.0,21.3
1973-06,0.0,24.3
1973-07,6.5,29.2
1973-08,5.8,29.8
1973-09,0.0,25.6
1974-05,0.0,21.6
1974-06,0.0,23.6
1974-07,1.0,25.6
1974-08,4.5,29.2
1974-09,0.0,26.0
1975-05,0.0,19.7
1975-06,0.0,23.9
1975-07,7.5,28.8
1975-08,11.0,30.8
1975-09,0.5,28.4
1976-05,0.0,20.2
1976-06,0.0,22.8
1976-07,0.3,25.6
1976-08,8.5,30.1
1976-09,0.0,24.6
1977-05,0.0,20.5
1977-06,0.0,23.1
1977-07,7.3,29.7
1977-08,2.3,27.9
1977-09,0.5,26.3
1978-05,0.0,22.1
1978-06,0.3,25.1
1978-07,10.8,30.2
1978-08,9.0,30.1
1978-09,0.3,26.6
1979-05,0.0,21.5
1979-06,0.3,24.8
1979-07,2.8,27.4
1979-08,7.3,29.7
1979-09,0.0,26.0
1980-05,0.0,21.3
1980-06,0.0,24.7
1980-07,3.5,26.9
1980-08,1.3,26.3
1980-09,0.0,24.9
1981-05,0.0,21.5
1981-06,0.0,24.4
1981-07,10.8,30.1
1981-08,7.8,30.0
1981-09,0.5,25.9
1982-05,0.0,22.7
1982-06,0.0,24.8
1982-07,0.8,27.2
1982-08,6.8,29.4
1982-09,0.0,25.2
1983-05,0.0,21.8
1983-06,0.0,24.1
1983-07,7.0,27.7
1983-08,7.8,30.0
1983-09,0.8,27.2
1984-05,0.0,20.8
1984-06,0.5,24.8
1984-07,7.0,29.6
1984-08,10.8,30.1
1984-09,1.5,26.3
1985-05,0.0,21.8
1985-06,0.0,24.3
1985-07,6.8,29.5
1985-08,8.0,30.2
1985-09,2.3,27.8
1986-05,0.0,21.6
1986-06,0.0,25.1
1986-07,2.5,26.9
1986-08,5.3,29.9
1986-09,0.0,24.8
1987-05,0.0,21.1
1987-06,0.0,24.9
1987-07,2.5,27.2
1987-08,5.8,29.7
1987-09,0.0,25.3
1988-05,0.0,21.8
1988-06,0.0,24.7
1988-07,11.3,29.3
1988-08,5.3,29.4
1988-09,0.0,26.3
1989-05,0.0,21.3
1989-06,0.0,23.8
1989-07,8.8,28.1
1989-08,4.3,28.8
1989-09,1.8,26.6
1990-05,0.0,21.6
1990-06,0.5,25.7
1990-07,12.3,29.5
1990-08,19.3,31.8
1990-09,3.8,26.9
1991-05,0.0,20.7
1991-06,0.5,24.4
1991-07,11.0,28.2
1991-08,2.3,28.1
1991-09,1.5,26.4
1992-05,0.0,21.6
1992-06,0.0,23.9
1992-07,8.5,28.7
1992-08,8.0,29.9
1992-09,4.3,27.3
1993-05,0.0,21.1
1993-06,0.0,24.4
1993-07,0.5,26.5
1993-08,2.8,27.2
1993-09,0.0,25.9
1994-05,0.0,22.5
1994-06,0.0,24.6
1994-07,18.0,31.5
1994-08,14.3,30.4
1994-09,1.3,26.8
1995-05,0.0,20.7
1995-06,0.0,23.3
1995-07,7.3,28.2
1995-08,22.0,31.1
1995-09,2.8,25.7
1996-05,0.0,21.8
1996-06,0.0,25.3
1996-07,10.0,27.9
1996-08,13.8,30.2
1996-09,0.0,26.8
1997-05,0.0,22.3
1997-06,0.3,25.8
1997-07,8.3,28.6
1997-08,10.5,29.0
1997-09,1.0,26.2
1998-05,0.0,22.4
1998-06,0.8,23.9
1998-07,11.5,29.4
1998-08,17.8,30.6
1998-09,1.0,27.6
1999-05,0.0,21.9
1999-06,0.0,24.8
1999-07,1.8,26.5
1999-08,3.5,28.0
1999-09,3.0,27.5
2000-05,0.0,21.7
2000-06,0.0,25.1
2000-07,10.8,29.8
2000-08,16.8,31.0
2000-09,0.8,25.8
2001-05,0.0,22.7
2001-06,0.3,25.2
2001-07,12.5,30.4
2001-08,11.5,30.6
2001-09,0.3,26.6
2002-05,0.0,21.4
2002-06,0.0,25.5
2002-07,1.0,27.9
2002-08,6.8,28.8
2002-09,0.0,26.4
2003-05,0.0,22.0
2003-06,0.0,25.4
2003-07,3.5,27.4
2003-08,13.0,30.1
2003-09,5.5,28.1
2004-05,0.0,22.3
2004-06,0.0,25.8
2004-07,12.0,30.7
2004-08,18.5,31.4
2004-09,1.3,27.2
2005-05,0.0,22.0
2005-06,1.8,26.0
2005-07,7.0,29.1
2005-08,15.5,29.7
2005-09,3.5,28.0
2006-05,0.0,21.3
2006-06,0.0,24.5
2006-07,6.5,28.4
2006-08,17.0,31.3
2006-09,0.0,25.6
2007-05,0.0,23.2
2007-06,0.0,24.7
2007-07,5.3,28.0
2007-08,19.8,31.3
2007-09,1.8,27.0
2008-05,0.0,21.7
2008-06,0.0,23.4
2008-07,13.5,30.3
2008-08,9.5,30.3
2008-09,0.0,27.2
2009-05,0.0,23.4
2009-06,0.0,25.6
2009-07,7.3,28.4
2009-08,6.5,28.9
2009-09,0.0,26.7
2010-05,0.0,21.6
2010-06,0.0,24.6
2010-07,9.0,28.8
2010-08,25.5,31.5
2010-09,7.3,28.0
2011-05,0.0,21.8
2011-06,1.0,24.3
2011-07,13.8,30.0
2011-08,9.8,28.9
2011-09,0.8,27.2
2012-05,0.0,23.2
2012-06,0.0,25.1
2012-07,10.3,29.0
2012-08,22.3,30.5
2012-09,0.0,25.7
2013-05,0.0,22.7
2013-06,0.0,24.9
2013-07,20.5,31.0
2013-08,23.3,32.3
2013-09,0.5,27.9
2014-05,0.3,23.2
2014-06,0.0,24.6
2014-07,5.0,28.0
2014-08,2.0,27.8
2014-09,0.3,26.9
2015-05,0.0,22.8
2015-06,0.0,24.7
2015-07,4.0,27.9
2015-08,8.5,29.2
2015-09,0.0,25.9
2016-05,0.0,22.5
2016-06,0.0,24.9
2016-07,13.5,29.4
2016-08,23.0,31.1
2016-09,0.0,26.4
2017-05,0.0,23.3
2017-06,0.0,25.2
2017-07,22.5,31.4
2017-08,18.5,31.7
2017-09,0.5,27.3
2018-05,0.0,22.5
2018-06,0.0,25.3
2018-07,13.8,29.8
2018-08,23.8,31.2
2018-09,0.3,26.7
2019-05,0.0,23.7
2019-06,0.0,24.8
2019-07,6.3,27.3
2019-08,17.3,30.2
2019-09,1.3,26.8
2020-05,0.0,22.2
2020-06,0.0,25.3
2020-07,3.5,26.3
2020-08,27.0,31.0
2020-09,1.0,25.5
2021-05,0.0,22.6
2021-06,0.0,26.1
2021-07,19.3,29.7
2021-08,16.3,29.5
2021-09,0.3,27.3
2022-05,0.0,22.8
2022-06,2.3,25.7
2022-07,18.0,30.4
2022-08,20.0,31.1
2022-09,2.3,26.9

