일자,기온(°C),기온(°F),습도(%),열지수
19800501,13.8,56.8,62,13.79
19800502,15.4,59.7,50.1,15.39
19800503,15.6,60.1,77.8,15.62
19800504,13.7,56.6,78.3,13.65
19800505,12.8,55,53.3,12.76
19800506,13.1,55.6,52.8,13.12
19800507,14.8,58.6,58.1,14.75
19800508,14.1,57.5,60.1,14.14
19800509,14.9,58.8,68.1,14.9
19800510,15.4,59.8,67.8,15.44
19800511,19.4,66.9,56,19.38
19800512,14.1,57.4,83.3,14.11
19800513,13.4,56.1,87.4,13.41
19800514,14.5,58.2,89.9,14.54
19800515,16.5,61.7,62.1,16.48
19800516,13.2,55.7,60.8,13.16
19800517,13.7,56.6,58.9,13.68
19800518,16.1,61.1,52.6,16.14
19800519,15.8,60.5,58.4,15.84
19800520,17.6,63.7,59.9,17.6
19800521,18.8,65.9,61.4,18.81
19800522,19.9,67.8,61.5,19.88
19800523,21,69.8,54.6,20.97
19800524,21.5,70.6,58.9,21.45
19800525,17.5,63.5,87.1,17.48
19800526,13.8,56.9,70.5,13.81
19800527,16.1,61,60.8,16.12
19800528,19.5,67.2,61.6,19.53
19800529,19.6,67.3,66.4,19.63
19800530,22.2,72,67,22.25
19800531,24.4,76,61.9,24.43
19800601,22.8,73,66.9,22.8
19800602,15.9,60.6,89.9,15.91
19800603,17.1,62.8,69.4,17.1
19800604,20.7,69.3,70.1,20.7
19800605,21.1,69.9,70.6,21.08
19800606,23.3,74,61.9,23.31
19800607,23.7,74.7,54.9,23.74
19800608,18.9,66,88.1,18.86
19800609,17.8,64.1,86,17.85
19800610,20.2,68.4,79.4,20.21
19800611,21,69.8,76,21
19800612,21.4,70.6,77.9,21.42
19800613,23.2,73.8,77,23.2
19800614,26,78.9,65.9,26.04
19800615,24.3,75.7,73.9,24.28
19800616,23.1,73.6,84.8,23.1
19800617,22.6,72.7,82.9,22.6
19800618,22.6,72.7,74,22.63
19800619,23.1,73.5,69,23.06
19800620,21,69.8,79.1,20.99
19800621,21.6,70.9,75.6,21.62
19800622,22.2,71.9,71,22.17
19800623,23.1,73.6,72.3,23.09
19800624,24.7,76.5,72.9,24.72
19800625,20.6,69.1,88.1,20.63
19800626,19.1,66.4,90.5,19.13
19800627,20.3,68.5,84.6,20.29
19800628,22.7,72.9,76.3,22.73
19800629,25.1,77.2,73.9,25.1
19800630,21.7,71,83.9,21.65
19800701,18.6,65.5,82.6,18.6
19800702,20,68,73.4,19.99
19800703,22.3,72.1,71.6,22.27
19800704,20.2,68.3,83,20.15
19800705,20.1,68.2,88,20.12
19800706,22.4,72.2,81.5,22.36
19800707,21.9,71.4,81.8,21.87
19800708,22.6,72.7,81,22.63
19800709,24.5,76,78.4,24.45
19800710,24.8,76.6,78.1,24.8
19800711,24.4,75.9,73,24.4
19800712,24.8,76.6,70.6,24.79
19800713,23.9,75,78.5,23.9
19800714,20,68,93.3,20.01
19800715,22.9,73.3,80.6,22.92
19800716,25,77,70.6,25
19800717,23.8,74.8,78.1,23.79
19800718,21.1,70,92,21.14
19800719,24.8,76.6,81.4,24.76
19800720,22.6,72.7,90.9,22.64
19800721,23.2,73.7,87,23.19
19800722,23.2,73.8,92.5,23.21
19800723,24.5,76.2,79.3,24.53
19800724,24.3,75.7,76.4,24.27
19800725,22.6,72.7,82.6,22.62
