year,mean,unc
1979,336.85,0.1
1980,338.91,0.07
1981,340.11,0.08
1982,340.86,0.03
1983,342.53,0.05
1984,344.07,0.07
1985,345.54,0.07
1986,346.97,0.07
1987,348.68,0.09
1988,351.16,0.07
1989,352.78,0.06
1990,354.05,0.07
1991,355.39,0.06
1992,356.1,0.06
1993,356.84,0.07
1994,358.33,0.07
1995,360.18,0.05
1996,361.93,0.04
1997,363.05,0.05
1998,365.7,0.04
1999,367.8,0.07
2000,368.97,0.06
2001,370.57,0.05
2002,372.59,0.04
2003,375.15,0.04
2004,376.95,0.06
2005,378.97,0.05
2006,381.14,0.05
2007,382.9,0.05
2008,385.02,0.05
2009,386.5,0.04
2010,388.76,0.06
2011,390.63,0.06
2012,392.65,0.07
2013,395.39,0.06
2014,397.34,0.05
2015,399.65,0.05
2016,403.09,0.07
2017,405.22,0.07
2018,407.61,0.07
2019,410.07,0.08
2020,412.44,0.06
2021,414.71,0.06
2022,417.06,0.15
