year,mean,unc
1984,1644.69,0.68
1985,1657.28,0.67
1986,1670.08,0.82
1987,1682.71,0.48
1988,1693.19,0.66
1989,1704.54,0.54
1990,1714.42,0.69
1991,1724.9,0.72
1992,1735.51,0.6
1993,1736.49,0.44
1994,1742.06,0.63
1995,1748.81,0.47
1996,1751.46,0.63
1997,1754.54,0.36
1998,1765.54,0.58
1999,1772.39,0.54
2000,1773.37,0.63
2001,1771.24,0.53
2002,1772.69,0.55
2003,1777.32,0.52
2004,1777.03,0.46
2005,1774.14,0.55
2006,1774.97,0.48
2007,1781.39,0.6
2008,1787.01,0.61
2009,1793.54,0.65
2010,1798.89,0.63
2011,1803.11,0.6
2012,1808.03,0.5
2013,1813.4,0.66
2014,1822.61,0.51
2015,1834.25,0.53
2016,1843.15,0.55
2017,1849.67,0.59
2018,1857.31,0.86
2019,1866.59,0.62
2020,1878.95,0.59
2021,1895.29,0.61
2022,1911.84,0.59
