
열대야일수
[검색조건]
자료구분 : 년
지역/지점 : 전국
기간 : 1973~2022

년,열대야일수,평균 최고기온(℃)
1973,6.2,17.8
1974,1.3,16.9
1975,5.5,17.8
1976,2.4,17.1
1977,3.0,18.0
1978,8.1,18.5
1979,3.6,18.3
1980,0.5,16.7
1981,4.8,17.1
1982,2.1,18.3
1983,5.7,17.9
1984,5.6,17.5
1985,4.9,17.4
1986,1.9,17.1
1987,1.8,17.9
1988,2.7,17.9
1989,2.2,18.4
1990,6.5,18.4
1991,3.6,17.9
1992,4.9,18.1
1993,0.2,17.3
1994,16.8,19.1
1995,8.6,18.0
1996,5.8,17.9
1997,5.3,18.7
1998,5.8,18.9
1999,2.3,18.3
2000,4.2,18.1
2001,6.0,18.4
2002,3.3,18.1
2003,1.5,17.7
2004,4.3,19.0
2005,4.8,17.9
2006,5.1,18.3
2007,6.1,18.7
2008,6.1,18.5
2009,2.5,18.6
2010,11.5,17.9
2011,5.6,17.7
2012,9.1,17.6
2013,14.0,18.4
2014,3.0,18.6
2015,4.2,18.8
2016,10.0,18.9
2017,10.1,18.7
2018,16.6,18.6
2019,10.2,19.0
2020,7.4,18.4
2021,5.5,18.8
2022,13.2,18.6

