폭염일수,,,,,,,,,,,,,,
지점/지역명 : 광주,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.2,0.7,5.5,8.6,0.6,0,0,0,15.6,
1973,0,0,0,0,0,0,8,7,0,0,0,0,15,16
1974,0,0,0,0,0,0,0,7,0,0,0,0,7,38
1975,0,0,0,0,0,0,0,5,1,0,0,0,6,40
1976,0,0,0,0,0,0,0,2,0,0,0,0,2,46
1977,0,0,0,0,0,0,11,3,0,0,0,0,14,17
1978,0,0,0,0,0,0,14,7,0,0,0,0,21,7
1979,0,0,0,0,0,0,1,6,0,0,0,0,7,38
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,47
1981,0,0,0,0,0,2,9,1,0,0,0,0,12,25
1982,0,0,0,0,0,0,3,6,0,0,0,0,9,33
1983,0,0,0,0,0,0,1,11,0,0,0,0,12,25
1984,0,0,0,0,0,0,4,9,0,0,0,0,13,21
1985,0,0,0,0,0,0,4,7,0,0,0,0,11,31
1986,0,0,0,0,0,0,2,2,0,0,0,0,4,45
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,47
1988,0,0,0,0,0,0,4,8,0,0,0,0,12,25
1989,0,0,0,0,0,0,4,5,0,0,0,0,9,33
1990,0,0,0,0,0,0,9,12,0,0,0,0,21,7
1991,0,0,0,0,0,0,1,4,1,0,0,0,6,40
1992,0,0,0,0,0,0,4,4,0,0,0,0,8,35
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,47
1994,0,0,0,0,0,0,24,17,4,0,0,0,45,1
1995,0,0,0,0,0,0,2,10,0,0,0,0,12,25
1996,0,0,0,0,0,0,5,12,0,0,0,0,17,15
1997,0,0,0,0,0,2,7,3,1,0,0,0,13,21
1998,0,0,0,0,0,0,0,3,3,0,0,0,6,40
1999,0,0,0,0,0,2,1,3,0,0,0,0,6,40
2000,0,0,0,0,1,0,5,4,0,0,0,0,10,32
2001,0,0,0,0,0,1,9,8,0,0,0,0,18,12
2002,0,0,0,0,0,1,4,3,0,0,0,0,8,35
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2004,0,0,0,0,0,0,8,13,0,0,0,0,21,7
2005,0,0,0,0,0,0,11,7,0,0,0,0,18,12
2006,0,0,0,0,0,0,0,14,0,0,0,0,14,17
2007,0,0,0,0,0,1,2,9,0,0,0,0,12,25
2008,0,0,0,0,0,0,11,5,2,0,0,0,18,12
2009,0,0,0,0,0,3,0,3,0,0,0,0,6,40
2010,0,0,0,0,0,0,3,14,3,0,0,0,20,10
2011,0,0,0,0,0,1,4,4,4,0,0,0,13,21
2012,0,0,0,0,0,0,9,16,0,0,0,0,25,5
2013,0,0,0,0,0,0,4,18,0,0,0,0,22,6
2014,0,0,0,0,3,0,5,0,0,0,0,0,8,35
2015,0,0,0,0,1,0,5,8,0,0,0,0,14,17
2016,0,0,0,0,0,0,9,21,1,0,0,0,31,3
2017,0,0,0,0,1,5,13,10,0,0,0,0,29,4
2018,0,0,0,0,0,2,20,21,0,0,0,0,43,2
2019,0,0,0,0,0,0,0,12,0,0,0,0,12,25
2020,0,0,0,0,0,2,0,11,0,0,0,0,13,21
2021,0,0,0,0,0,0,9,5,0,0,0,0,14,17
2022,0,0,0,0,0,4,9,4,2,0,0,0,19,11
