폭염일수,,,,,,,,,,,,,,
지점/지역명 : 대구,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,,,,,,,,,,,,,,
1973,0,0,0,0,0,1,21,20,0,0,0,0,42,4
1974,0,0,0,0,0,2,0,16,0,0,0,0,18,38
1975,0,0,0,0,0,1,10,13,3,0,0,0,27,21
1976,0,0,0,0,0,1,7,11,0,0,0,0,19,36
1977,0,0,0,0,0,0,16,5,1,0,0,0,22,29
1978,0,0,0,0,3,2,18,18,1,0,0,0,42,4
1979,0,0,0,0,1,0,4,8,0,0,0,0,13,42
1980,0,0,0,0,0,4,2,0,0,0,0,0,6,48
1981,0,0,0,0,1,5,11,4,0,0,0,0,21,33
1982,0,0,0,0,0,2,7,10,0,0,0,0,19,36
1983,0,0,0,0,2,4,8,9,1,0,0,0,24,24
1984,0,0,0,0,0,0,7,14,0,0,0,0,21,33
1985,0,0,0,0,0,0,13,17,2,0,0,0,32,14
1986,0,0,0,0,0,0,7,7,0,0,0,0,14,41
1987,0,0,0,0,0,3,5,0,0,0,0,0,8,47
1988,0,0,0,0,0,4,8,11,0,0,0,0,23,25
1989,0,0,0,0,0,0,6,5,0,0,0,0,11,43
1990,0,0,0,0,0,2,10,21,1,0,0,0,34,11
1991,0,0,0,0,2,3,5,1,0,0,0,0,11,43
1992,0,0,0,0,0,2,18,1,1,0,0,0,22,29
1993,0,0,0,0,0,2,0,1,0,0,0,0,3,50
1994,0,0,0,0,0,3,28,23,6,0,0,0,60,1
1995,0,0,0,0,0,1,14,20,0,0,0,0,35,10
1996,0,0,0,0,0,3,16,20,0,0,0,0,39,8
1997,0,0,0,0,1,6,11,12,3,0,0,0,33,12
1998,0,0,0,0,0,0,4,5,2,0,0,0,11,43
1999,0,0,0,0,0,5,1,3,0,0,0,0,9,46
2000,0,0,0,0,1,3,8,4,0,0,0,0,16,40
2001,0,0,0,0,0,1,13,9,0,0,0,0,23,25
2002,0,0,0,0,0,5,10,6,1,0,0,0,22,29
2003,0,0,0,0,0,0,0,5,0,0,0,0,5,49
2004,0,0,0,0,0,2,14,12,0,0,0,0,28,20
2005,0,0,0,0,0,7,8,8,3,0,0,0,26,23
2006,0,0,0,0,0,2,6,19,0,0,0,0,27,21
2007,0,0,0,0,0,1,5,16,1,0,0,0,23,25
2008,0,0,0,0,1,1,20,13,1,0,0,0,36,9
2009,0,0,0,0,2,6,1,7,2,0,0,0,18,38
2010,0,0,0,0,0,4,12,20,5,0,0,0,41,6
2011,0,0,0,0,0,4,10,11,4,0,0,0,29,18
2012,0,0,0,0,0,0,13,17,0,0,0,0,30,17
2013,0,0,0,0,2,4,24,23,1,0,0,0,54,2
2014,0,0,0,0,3,2,14,3,0,0,0,0,22,29
2015,0,0,0,0,2,2,6,11,0,0,0,0,21,33
2016,0,0,0,0,0,1,10,21,0,0,0,0,32,14
2017,0,0,0,0,2,6,16,9,0,0,0,0,33,12
2018,0,0,0,0,0,4,21,15,0,0,0,0,40,7
2019,0,0,0,0,2,5,6,16,0,0,0,0,29,18
2020,0,0,0,0,0,7,0,24,0,0,0,0,31,16
2021,0,0,0,0,0,2,13,8,0,0,0,0,23,25
2022,0,0,0,0,4,11,18,11,1,0,0,0,45,3
