폭염일수,,,,,,,,,,,,,,
지점/지역명 : 대전,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0.7,4.2,7.1,0.1,0,0,0,12.1,
1973,0,0,0,0,0,0,8,4,0,0,0,0,12,22
1974,0,0,0,0,0,0,0,4,0,0,0,0,4,40
1975,0,0,0,0,0,0,1,8,1,0,0,0,10,27
1976,0,0,0,0,0,1,0,1,0,0,0,0,2,45
1977,0,0,0,0,0,1,11,2,0,0,0,0,14,18
1978,0,0,0,0,0,0,15,4,0,0,0,0,19,8
1979,0,0,0,0,0,0,2,3,0,0,0,0,5,37
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,47
1981,0,0,0,0,0,1,8,0,0,0,0,0,9,31
1982,0,0,0,0,0,0,4,6,0,0,0,0,10,27
1983,0,0,0,0,0,2,2,11,0,0,0,0,15,17
1984,0,0,0,0,0,1,5,10,0,0,0,0,16,14
1985,0,0,0,0,0,0,8,10,0,0,0,0,18,10
1986,0,0,0,0,0,0,4,2,0,0,0,0,6,35
1987,0,0,0,0,0,1,1,1,0,0,0,0,3,41
1988,0,0,0,0,0,0,5,13,0,0,0,0,18,10
1989,0,0,0,0,0,0,4,4,0,0,0,0,8,32
1990,0,0,0,0,0,0,7,13,0,0,0,0,20,7
1991,0,0,0,0,0,0,2,5,0,0,0,0,7,33
1992,0,0,0,0,0,0,9,1,0,0,0,0,10,27
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,47
1994,0,0,0,0,0,2,27,14,0,0,0,0,43,1
1995,0,0,0,0,0,0,3,9,0,0,0,0,12,22
1996,0,0,0,0,0,0,7,15,0,0,0,0,22,4
1997,0,0,0,0,0,1,11,4,0,0,0,0,16,14
1998,0,0,0,0,0,0,0,1,2,0,0,0,3,41
1999,0,0,0,0,0,0,3,4,0,0,0,0,7,33
2000,0,0,0,0,0,0,5,9,0,0,0,0,14,18
2001,0,0,0,0,0,3,1,7,0,0,0,0,11,25
2002,0,0,0,0,0,0,2,1,0,0,0,0,3,41
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2004,0,0,0,0,0,5,6,8,0,0,0,0,19,8
2005,0,0,0,0,0,0,2,4,0,0,0,0,6,35
2006,0,0,0,0,0,0,0,11,0,0,0,0,11,25
2007,0,0,0,0,0,0,0,5,0,0,0,0,5,37
2008,0,0,0,0,0,0,2,1,0,0,0,0,3,41
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2010,0,0,0,0,0,0,1,9,0,0,0,0,10,27
2011,0,0,0,0,0,0,0,1,0,0,0,0,1,46
2012,0,0,0,0,0,1,6,10,0,0,0,0,17,13
2013,0,0,0,0,0,0,1,15,0,0,0,0,16,14
2014,0,0,0,0,1,0,4,0,0,0,0,0,5,37
2015,0,0,0,0,0,1,2,9,0,0,0,0,12,22
2016,0,0,0,0,0,0,6,23,0,0,0,0,29,3
2017,0,0,0,0,0,4,5,5,0,0,0,0,14,18
2018,0,0,0,0,0,1,17,19,0,0,0,0,37,2
2019,0,0,0,0,0,1,5,12,0,0,0,0,18,10
2020,0,0,0,0,0,3,0,10,0,0,0,0,13,21
2021,0,0,0,0,0,0,16,5,0,0,0,0,21,6
2022,0,0,0,0,0,4,11,5,2,0,0,0,22,4
