폭염일수,,,,,,,,,,,,,,
지점/지역명 : 부산,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,0.8,3,0.1,0,0,0,3.9,
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1975,0,0,0,0,0,0,0,1,0,0,0,0,1,23
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1977,0,0,0,0,0,0,3,0,0,0,0,0,3,15
1978,0,0,0,0,0,0,3,0,0,0,0,0,3,15
1979,0,0,0,0,1,0,0,0,0,0,0,0,1,23
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1983,0,0,0,0,0,0,0,3,0,0,0,0,3,15
1984,0,0,0,0,0,0,1,4,0,0,0,0,5,12
1985,0,0,0,0,0,0,3,4,0,0,0,0,7,9
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1988,0,0,0,0,0,0,0,1,0,0,0,0,1,23
1989,0,0,0,0,0,0,0,1,0,0,0,0,1,23
1990,0,0,0,0,0,0,1,9,0,0,0,0,10,3
1991,0,0,0,0,0,0,0,1,0,0,0,0,1,23
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1994,0,0,0,0,0,0,7,2,1,0,0,0,10,3
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1996,0,0,0,0,0,0,3,7,0,0,0,0,10,3
1997,0,0,0,0,0,0,0,3,1,0,0,0,4,13
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2000,0,0,0,0,0,0,0,3,0,0,0,0,3,15
2001,0,0,0,0,0,0,1,9,0,0,0,0,10,3
2002,0,0,0,0,0,0,0,1,0,0,0,0,1,23
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2004,0,0,0,0,0,0,1,1,0,0,0,0,2,22
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2006,0,0,0,0,0,0,0,10,0,0,0,0,10,3
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2010,0,0,0,0,0,0,0,3,0,0,0,0,3,15
2011,0,0,0,0,0,0,1,0,0,0,0,0,1,23
2012,0,0,0,0,0,0,1,6,0,0,0,0,7,9
2013,0,0,0,0,0,0,0,13,0,0,0,0,13,2
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2015,0,0,0,0,0,0,0,1,0,0,0,0,1,23
2016,0,0,0,0,0,0,0,9,0,0,0,0,9,8
2017,0,0,0,0,0,0,0,6,0,0,0,0,6,11
2018,0,0,0,0,0,0,9,9,0,0,0,0,18,1
2019,0,0,0,0,0,0,0,3,0,0,0,0,3,15
2020,0,0,0,0,0,0,0,4,0,0,0,0,4,13
2021,0,0,0,0,0,0,0,3,0,0,0,0,3,15
2022,0,0,0,0,0,0,0,1,0,0,0,0,1,23
