폭염일수,,,,,,,,,,,,,,
지점/지역명 : 서울,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.1,0.6,3.1,5,0,0,0,0,8.8,
1973,0,0,0,0,0,0,4,3,0,0,0,0,7,22
1974,0,0,0,0,0,0,0,2,0,0,0,0,2,39
1975,0,0,0,0,0,0,1,8,0,0,0,0,9,19
1976,0,0,0,0,0,1,1,0,0,0,0,0,2,39
1977,0,0,0,0,0,2,8,1,0,0,0,0,11,13
1978,0,0,0,0,0,0,8,5,0,0,0,0,13,10
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1981,0,0,0,0,0,0,4,1,0,0,0,0,5,27
1982,0,0,0,0,0,0,2,4,0,0,0,0,6,25
1983,0,0,0,0,0,0,0,5,0,0,0,0,5,27
1984,0,0,0,0,0,1,3,4,0,0,0,0,8,20
1985,0,0,0,0,0,0,5,6,0,0,0,0,11,13
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1988,0,0,0,0,0,0,0,13,0,0,0,0,13,10
1989,0,0,0,0,0,0,1,3,0,0,0,0,4,29
1990,0,0,0,0,0,0,3,8,0,0,0,0,11,13
1991,0,0,0,0,0,0,0,4,0,0,0,0,4,29
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1994,0,0,0,0,0,2,17,10,0,0,0,0,29,2
1995,0,0,0,0,0,0,1,2,0,0,0,0,3,35
1996,0,0,0,0,0,0,2,5,0,0,0,0,7,22
1997,0,0,0,0,0,3,7,6,0,0,0,0,16,6
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1999,0,0,0,0,0,2,2,10,0,0,0,0,14,8
2000,0,0,0,0,0,3,9,6,0,0,0,0,18,4
2001,0,0,0,0,0,0,0,4,0,0,0,0,4,29
2002,0,0,0,0,0,0,3,0,0,0,0,0,3,35
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2004,0,0,0,0,0,0,4,6,0,0,0,0,10,16
2005,0,0,0,0,0,0,3,3,0,0,0,0,6,25
2006,0,0,0,0,0,0,0,7,0,0,0,0,7,22
2007,0,0,0,0,0,1,0,3,0,0,0,0,4,29
2008,0,0,0,0,0,0,0,3,0,0,0,0,3,35
2009,0,0,0,0,0,0,0,4,0,0,0,0,4,29
2010,0,0,0,0,0,0,0,2,0,0,0,0,2,39
2011,0,0,0,0,0,0,1,2,0,0,0,0,3,35
2012,0,0,0,0,0,2,3,9,0,0,0,0,14,8
2013,0,0,0,0,0,0,0,2,0,0,0,0,2,39
2014,0,0,0,0,1,0,7,2,0,0,0,0,10,16
2015,0,0,0,0,0,1,4,3,0,0,0,0,8,20
2016,0,0,0,0,0,0,4,20,0,0,0,0,24,3
2017,0,0,0,0,0,1,5,7,0,0,0,0,13,10
2018,0,0,0,0,0,0,16,19,0,0,0,0,35,1
2019,0,0,0,0,1,0,4,10,0,0,0,0,15,7
2020,0,0,0,0,0,2,0,2,0,0,0,0,4,29
2021,0,0,0,0,0,0,15,3,0,0,0,0,18,4
2022,0,0,0,0,0,0,10,0,0,0,0,0,10,16
