폭염일수,,,,,,,,,,,,,,
지점/지역명 : 울산,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.1,0.4,6.4,7.4,0.4,0,0,0,14.7,
1973,0,0,0,0,0,0,14,15,0,0,0,0,29,3
1974,0,0,0,0,0,0,0,6,0,0,0,0,6,44
1975,0,0,0,0,0,0,5,8,1,0,0,0,14,21
1976,0,0,0,0,0,0,2,6,0,0,0,0,8,34
1977,0,0,0,0,0,0,11,3,0,0,0,0,14,21
1978,0,0,0,0,0,0,12,15,1,0,0,0,28,4
1979,0,0,0,0,1,0,3,7,0,0,0,0,11,29
1980,0,0,0,0,0,2,1,0,0,0,0,0,3,47
1981,0,0,0,0,0,0,9,3,0,0,0,0,12,27
1982,0,0,0,0,0,0,3,5,0,0,0,0,8,34
1983,0,0,0,0,0,0,7,8,1,0,0,0,16,17
1984,0,0,0,0,0,0,4,13,0,0,0,0,17,15
1985,0,0,0,0,0,0,10,6,1,0,0,0,17,15
1986,0,0,0,0,0,1,6,5,0,0,0,0,12,27
1987,0,0,0,0,0,2,2,0,0,0,0,0,4,45
1988,0,0,0,0,0,1,4,5,0,0,0,0,10,31
1989,0,0,0,0,0,0,5,3,0,0,0,0,8,34
1990,0,0,0,0,0,1,9,16,0,0,0,0,26,6
1991,0,0,0,0,0,0,3,0,0,0,0,0,3,47
1992,0,0,0,0,0,0,13,0,1,0,0,0,14,21
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1994,0,0,0,0,0,0,20,16,4,0,0,0,40,1
1995,0,0,0,0,0,0,7,20,0,0,0,0,27,5
1996,0,0,0,0,0,0,10,10,0,0,0,0,20,9
1997,0,0,0,0,0,0,4,6,3,0,0,0,13,25
1998,0,0,0,0,0,0,2,6,0,0,0,0,8,34
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2000,0,0,0,0,0,1,5,2,0,0,0,0,8,34
2001,0,0,0,0,0,0,9,6,0,0,0,0,15,20
2002,0,0,0,0,0,0,4,4,0,0,0,0,8,34
2003,0,0,0,0,0,0,0,6,1,0,0,0,7,41
2004,0,0,0,0,0,0,12,8,0,0,0,0,20,9
2005,0,0,0,0,0,4,6,6,2,0,0,0,18,14
2006,0,0,0,0,0,0,6,16,0,0,0,0,22,8
2007,0,0,0,0,0,1,4,15,0,0,0,0,20,9
2008,0,0,0,0,0,0,9,4,0,0,0,0,13,25
2009,0,0,0,0,0,2,0,2,0,0,0,0,4,45
2010,0,0,0,0,0,1,5,12,2,0,0,0,20,9
2011,0,0,0,0,0,1,2,4,0,0,0,0,7,41
2012,0,0,0,0,0,0,9,7,0,0,0,0,16,17
2013,0,0,0,0,1,0,15,21,0,0,0,0,37,2
2014,0,0,0,0,0,0,8,2,0,0,0,0,10,31
2015,0,0,0,0,0,0,6,10,0,0,0,0,16,17
2016,0,0,0,0,0,0,6,8,0,0,0,0,14,21
2017,0,0,0,0,1,0,11,7,0,0,0,0,19,13
2018,0,0,0,0,0,1,14,8,0,0,0,0,23,7
2019,0,0,0,0,0,0,2,6,0,0,0,0,8,34
2020,0,0,0,0,0,0,0,11,0,0,0,0,11,29
2021,0,0,0,0,0,0,2,5,0,0,0,0,7,41
2022,0,0,0,0,0,0,2,8,0,0,0,0,10,31
