폭염일수,,,,,,,,,,,,,,
지점/지역명 : 인천,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0.1,1.1,3.2,0,0,0,0,4.4,
1973,0,0,0,0,0,0,1,2,0,0,0,0,3,18
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1975,0,0,0,0,0,0,1,2,0,0,0,0,3,18
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1977,0,0,0,0,0,0,2,0,0,0,0,0,2,21
1978,0,0,0,0,0,0,5,1,0,0,0,0,6,11
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1981,0,0,0,0,0,0,3,0,0,0,0,0,3,18
1982,0,0,0,0,0,0,1,1,0,0,0,0,2,21
1983,0,0,0,0,0,0,0,2,0,0,0,0,2,21
1984,0,0,0,0,0,0,2,3,0,0,0,0,5,13
1985,0,0,0,0,0,0,2,0,0,0,0,0,2,21
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1988,0,0,0,0,0,0,0,5,0,0,0,0,5,13
1989,0,0,0,0,0,0,0,2,0,0,0,0,2,21
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1991,0,0,0,0,0,0,0,2,0,0,0,0,2,21
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1994,0,0,0,0,0,0,11,8,0,0,0,0,19,2
1995,0,0,0,0,0,0,1,0,0,0,0,0,1,30
1996,0,0,0,0,0,0,1,5,0,0,0,0,6,11
1997,0,0,0,0,0,1,2,4,0,0,0,0,7,10
1998,0,0,0,0,0,0,1,0,0,0,0,0,1,30
1999,0,0,0,0,0,0,1,8,0,0,0,0,9,5
2000,0,0,0,0,0,0,2,9,0,0,0,0,11,3
2001,0,0,0,0,0,0,1,8,1,0,0,0,10,4
2002,0,0,0,0,0,0,3,1,0,0,0,0,4,16
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2004,0,0,0,0,0,0,1,4,0,0,0,0,5,13
2005,0,0,0,0,0,0,2,2,0,0,0,0,4,16
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2008,0,0,0,0,0,0,0,1,0,0,0,0,1,30
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2010,0,0,0,0,0,0,0,1,0,0,0,0,1,30
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2012,0,0,0,0,0,2,0,7,0,0,0,0,9,5
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2014,0,0,0,0,0,0,0,2,0,0,0,0,2,21
2015,0,0,0,0,0,0,0,1,0,0,0,0,1,30
2016,0,0,0,0,0,0,0,8,0,0,0,0,8,8
2017,0,0,0,0,0,0,0,2,0,0,0,0,2,21
2018,0,0,0,0,0,0,6,14,0,0,0,0,20,1
2019,0,0,0,0,0,0,2,7,0,0,0,0,9,5
2020,0,0,0,0,0,0,0,1,0,0,0,0,1,30
2021,0,0,0,0,0,0,8,0,0,0,0,0,8,8
2022,0,0,0,0,0,0,2,0,0,0,0,0,2,21
