폭염일수,,,,,,,,,,,,,,
지점/지역명 : 강원,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.1,0.8,2.8,3.8,0.1,0,0,0,7.6,
1973,0,0,0,0,0,0,6.9,5.3,0,0,0,0,12.1,5
1974,0,0,0,0,0.1,0.1,0,3.4,0,0,0,0,3.7,40
1975,0,0,0,0,0,0.4,2.1,3.3,0.1,0,0,0,6,33
1976,0,0,0,0,0.3,0.3,1.1,0.6,0,0,0,0,2.3,45
1977,0,0,0,0,0,1.3,6.7,1.3,0,0,0,0,9.3,12
1978,0,0,0,0,0,0.4,7.3,4,0,0,0,0,11.7,7
1979,0,0,0,0,0.1,0.4,1.6,2.6,0,0,0,0,4.7,36
1980,0,0,0,0,0,1,0.1,0,0,0,0,0,1.1,48
1981,0,0,0,0,0,0.3,7,1.7,0,0,0,0,9,15
1982,0,0,0,0,0,0,2.4,4.9,0,0,0,0,7.3,26
1983,0,0,0,0,0.6,1.1,0.9,6.1,0,0,0,0,8.7,16
1984,0,0,0,0,0,1.1,4,6.7,0,0,0,0,11.9,6
1985,0,0,0,0,0,1,5.3,7.4,0,0,0,0,13.7,4
1986,0,0,0,0,0.1,0.6,1.4,1.6,0.1,0,0,0,3.9,38
1987,0,0,0,0,0,1.7,0.3,0.4,0,0,0,0,2.4,43
1988,0,0,0,0,0.1,0,0.6,7,0,0,0,0,7.7,24
1989,0,0,0,0,0.1,0.1,1,1.1,0,0,0,0,2.4,43
1990,0,0,0,0,0,0.2,2,5.8,0.1,0,0,0,8.1,21
1991,0,0,0,0,0,0.3,0.1,2.8,0,0,0,0,3.2,41
1992,0,0,0,0,0,0,1.7,0.2,0,0,0,0,1.9,46
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1994,0,0,0,0,0,1.3,11,6.6,0.1,0,0,0,19,2
1995,0,0,0,0,0,0,2,2.6,0,0,0,0,4.6,37
1996,0,0,0,0,0,0.2,2.2,6.2,0,0,0,0,8.7,16
1997,0,0,0,0,0,1.8,5,3.1,0.4,0,0,0,10.3,11
1998,0,0,0,0.1,0,0.1,0.4,0.4,0.8,0,0,0,1.9,46
1999,0,0,0,0,0,1,2,3.6,0.1,0,0,0,6.7,31
2000,0,0,0,0,0.1,2.4,5.4,3.4,0.1,0,0,0,11.6,8
2001,0,0,0,0,0.3,2.1,2.1,3.6,0,0,0,0,8.1,21
2002,0,0,0,0,0,0.4,2.4,0.7,0.2,0,0,0,3.8,39
2003,0,0,0,0,0,0,0.1,0.8,0,0,0,0,0.9,49
2004,0,0,0,0,0,0.9,3.9,4.3,0,0,0,0,9.1,14
2005,0,0,0,0.1,0,1.3,3.6,3.6,0.1,0,0,0,8.7,16
2006,0,0,0,0,0,0,0,7.3,0,0,0,0,7.3,26
2007,0,0,0,0,0,1.4,0.9,3.3,0.1,0,0,0,5.8,34
2008,0,0,0,0,0.1,0,3.4,3.4,0,0,0,0,7,29
2009,0,0,0,0,0,0.7,0.2,2.1,0,0,0,0,3,42
2010,0,0,0,0,0,0.9,2.8,4.3,0.7,0,0,0,8.7,16
2011,0,0,0,0,0,1.4,0.4,3.3,0.1,0,0,0,5.3,35
2012,0,0,0,0,0,0.6,3.2,5.4,0,0,0,0,9.2,13
2013,0,0,0,0,0.1,0.4,1.7,6.4,0,0,0,0,8.7,16
2014,0,0,0,0,1,0.3,4.2,1.3,0,0,0,0,6.9,30
2015,0,0,0,0,0.3,1,3.1,3.4,0,0,0,0,7.9,23
2016,0,0,0,0,0.1,0,2.7,12,0,0,0,0,14.8,3
2017,0,0,0,0,0.2,1.2,4,2.2,0,0,0,0,7.7,24
2018,0,0,0,0,0,1.1,12,9.7,0,0,0,0,22.8,1
2019,0,0,0,0,0.7,0.4,3.8,6.1,0.1,0,0,0,11.1,10
2020,0,0,0,0,0,3,0.4,3,0,0,0,0,6.4,32
2021,0,0,0,0,0,0.1,9.1,2.3,0,0,0,0,11.6,8
2022,0,0,0,0,0.3,0.9,4.7,1.3,0,0,0,0,7.2,28
