폭염일수,,,,,,,,,,,,,,
지점/지역명 : 서울경기,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0.5,2.9,5.1,0,0,0,0,8.5,
1973,0,0,0,0,0,0,4.5,3,0,0,0,0,7.5,21
1974,0,0,0,0,0,0,0,1.7,0,0,0,0,1.7,44
1975,0,0,0,0,0,0.2,0.8,4.7,0,0,0,0,5.7,28
1976,0,0,0,0,0,0.5,0.5,0.2,0,0,0,0,1.2,45
1977,0,0,0,0,0,1.3,6.3,0.7,0,0,0,0,8.3,18
1978,0,0,0,0,0,0,8.2,3.2,0,0,0,0,11.3,12
1979,0,0,0,0,0,0,0.5,1.7,0,0,0,0,2.2,43
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1981,0,0,0,0,0,0,4.3,0.5,0,0,0,0,4.8,32
1982,0,0,0,0,0,0,2.3,3.3,0,0,0,0,5.7,28
1983,0,0,0,0,0,0.7,0,6,0,0,0,0,6.7,25
1984,0,0,0,0,0,1.8,4.3,7,0,0,0,0,13.2,8
1985,0,0,0,0,0,0.2,4.5,6.5,0,0,0,0,11.2,13
1986,0,0,0,0,0,0.3,1,1.3,0.2,0,0,0,2.8,41
1987,0,0,0,0,0,1,0.7,0.7,0,0,0,0,2.3,42
1988,0,0,0,0,0,0,0.5,11,0,0,0,0,11.5,11
1989,0,0,0,0,0,0,1,3.3,0,0,0,0,4.3,33
1990,0,0,0,0,0,0,3,6.8,0,0,0,0,9.8,14
1991,0,0,0,0,0,0.3,0,4,0,0,0,0,4.3,33
1992,0,0,0,0,0,0,0.5,0.7,0,0,0,0,1.2,45
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1994,0,0,0,0,0,1,16.5,9.2,0,0,0,0,26.7,2
1995,0,0,0,0,0,0,1.3,2.7,0,0,0,0,4,35
1996,0,0,0,0,0,0.2,2.8,9.7,0,0,0,0,12.7,9
1997,0,0,0,0,0,2.7,6.8,3.7,0.2,0,0,0,13.3,7
1998,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0.7,47
1999,0,0,0,0,0,0.3,2.5,7,0,0,0,0,9.8,14
2000,0,0,0,0,0,1.3,5.2,6,0,0,0,0,12.5,10
2001,0,0,0,0,0,1,0.5,5.5,0.2,0,0,0,7.2,23
2002,0,0,0,0,0,0,3,0.5,0,0,0,0,3.5,37
2003,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,48
2004,0,0,0,0,0,0.3,3.3,5.8,0,0,0,0,9.5,16
2005,0,0,0,0,0,0.3,3.2,3.7,0,0,0,0,7.2,23
2006,0,0,0,0,0,0,0,8.2,0,0,0,0,8.2,19
2007,0,0,0,0,0,0.7,0,2.3,0,0,0,0,3,39
2008,0,0,0,0,0,0,1.7,3.8,0.2,0,0,0,5.7,28
2009,0,0,0,0,0,0.2,0,2.8,0,0,0,0,3,39
2010,0,0,0,0,0,0.2,0.8,4.3,0.3,0,0,0,5.7,28
2011,0,0,0,0,0,0.2,1.3,2.3,0.2,0,0,0,4,35
2012,0,0,0,0,0,1.7,4,9,0,0,0,0,14.7,5
2013,0,0,0,0,0,0,0,6.7,0,0,0,0,6.7,25
2014,0,0,0,0,0.7,0,4.8,2,0,0,0,0,7.5,21
2015,0,0,0,0,0,0.7,3.2,4.3,0,0,0,0,8.2,19
2016,0,0,0,0,0,0,3.7,16.8,0,0,0,0,20.5,3
2017,0,0,0,0,0,1.2,3.2,4.5,0,0,0,0,8.8,17
2018,0,0,0,0,0,1.3,13.3,16.5,0,0,0,0,31.2,1
2019,0,0,0,0,0.3,0,4.2,9.7,0,0,0,0,14.2,6
2020,0,0,0,0,0,1.2,0.2,2.2,0,0,0,0,3.5,37
2021,0,0,0,0,0,0,12.5,2.5,0,0,0,0,15,4
2022,0,0,0,0,0,0.3,5.8,0.5,0,0,0,0,6.7,25
