폭염일수,,,,,,,,,,,,,,
지점/지역명 : 경남,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.2,0.6,4.9,6.9,0.4,0,0,0,13,
1973,0,0,0,0,0,0.2,8.5,7.6,0,0,0,0,16.3,10
1974,0,0,0,0,0,0.2,0.1,4.8,0,0,0,0,5.1,41
1975,0,0,0,0,0,0.1,2.4,6.1,0.1,0,0,0,8.7,32
1976,0,0,0,0,0,0.1,0.3,1.7,0,0,0,0,2.1,47
1977,0,0,0,0,0,0,7.4,2.4,0.1,0,0,0,9.9,29
1978,0,0,0,0,0.4,0.2,9.9,5.3,0.1,0,0,0,15.9,11
1979,0,0,0,0,0.8,0.1,1.3,4.2,0,0,0,0,6.4,39
1980,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.3,49
1981,0,0,0,0,0.1,1.1,5.6,0.5,0,0,0,0,7.3,36
1982,0,0,0,0,0,0.4,2.4,5.3,0,0,0,0,8.1,33
1983,0,0,0,0,0.4,0.5,3.4,7.1,0.2,0,0,0,11.6,24
1984,0,0,0,0,0,0,3,9,0,0,0,0,12,22
1985,0,0,0,0,0,0,6.7,8.6,0.3,0,0,0,15.6,12
1986,0,0,0,0,0,0.1,3.4,4.4,0,0,0,0,7.9,34
1987,0,0,0,0,0,1.1,0.8,0.1,0,0,0,0,2,48
1988,0,0,0,0,0.1,0.8,3.6,5.7,0,0,0,0,10.2,28
1989,0,0,0,0,0,0,2.2,1.5,0,0,0,0,3.7,42
1990,0,0,0,0,0,0.2,6.8,15.4,0.3,0,0,0,22.6,4
1991,0,0,0,0,0.1,0.1,1.6,1.1,0,0,0,0,2.9,45
1992,0,0,0,0,0,0.2,6.9,0.4,0.3,0,0,0,7.7,35
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1994,0,0,0,0,0,0.5,18.5,9.5,2.3,0,0,0,30.7,2
1995,0,0,0,0,0,0,2.7,10.7,0,0,0,0,13.5,18
1996,0,0,0,0,0.1,0,6.2,12.5,0,0,0,0,18.7,8
1997,0,0,0,0,0,0.8,3.5,4.5,1.9,0,0,0,10.6,27
1998,0,0,0,0,0,0,1.2,1.9,0.6,0,0,0,3.7,42
1999,0,0,0,0,0,1.3,0,1.3,0,0,0,0,2.5,46
2000,0,0,0,0,0.9,2.2,4.2,3.9,0.1,0,0,0,11.3,25
2001,0,0,0,0,0,0.3,5.7,7.3,0,0,0,0,13.3,19
2002,0,0,0,0,0,0.9,4,4.1,0.5,0,0,0,9.5,30
2003,0,0,0,0,0,0,0.1,2.6,0.3,0,0,0,3,44
2004,0,0,0,0,0.3,1,8.7,8.9,0,0,0,0,18.9,7
2005,0,0,0,0,0,2.5,5.5,4.5,1.2,0,0,0,13.6,17
2006,0,0,0,0,0,0.3,2.5,14.9,0,0,0,0,17.7,9
2007,0,0,0,0,0.1,0.5,4,9.8,0.2,0,0,0,14.5,16
2008,0,0,0,0,0.1,0.1,8.3,5.9,0.9,0,0,0,15.3,13
2009,0,0,0,0,0.4,1.5,1,2.6,0.4,0,0,0,5.8,40
2010,0,0,0,0,0,1,3.4,8.9,1.6,0,0,0,14.9,14
2011,0,0,0,0,0,0.4,3,2.2,1.3,0,0,0,6.8,38
2012,0,0,0,0,0,0,6.7,7.9,0,0,0,0,14.6,15
2013,0,0,0,0,0.5,0.1,4.7,16.3,0,0,0,0,21.5,5
2014,0,0,0,0,1.1,0.2,5.1,0.9,0,0,0,0,7.3,36
2015,0,0,0,0,0.6,0.2,3.9,7,0,0,0,0,11.7,23
2016,0,0,0,0,0.1,0.2,6.6,17.9,0,0,0,0,24.8,3
2017,0,0,0,0,1.2,1.7,9,9,0,0,0,0,20.9,6
2018,0,0,0,0,0,1.9,17.5,13.4,0,0,0,0,32.8,1
2019,0,0,0,0,0.5,0.5,1.7,10,0.1,0,0,0,12.8,20
2020,0,0,0,0,0,1.5,0,8,0,0,0,0,9.5,30
2021,0,0,0,0,0,0.2,5.5,5.6,0,0,0,0,11.3,25
2022,0,0,0,0,0.2,1.4,5.9,4.8,0,0,0,0,12.3,21
