폭염일수,,,,,,,,,,,,,,
지점/지역명 : 경북,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.2,1.2,5.7,6.6,0.3,0,0,0,14,
1973,0,0,0,0,0,0.1,14.6,14,0,0,0,0,28.7,3
1974,0,0,0,0,0,0.7,0,9.3,0,0,0,0,10,37
1975,0,0,0,0,0,0.7,7,9.7,1.7,0,0,0,19,12
1976,0,0,0,0,0,0.6,3.4,4.9,0,0,0,0,8.9,39
1977,0,0,0,0,0,0.7,10.9,2.9,0.1,0,0,0,14.6,25
1978,0,0,0,0,0.6,0.9,12.4,10.6,0.4,0,0,0,24.9,5
1979,0,0,0,0,0.2,0.1,2.9,5.1,0,0,0,0,8.3,40
1980,0,0,0,0,0,1.9,0.7,0,0,0,0,0,2.6,48
1981,0,0,0,0,0.4,2.4,9.3,2.2,0,0,0,0,14.4,26
1982,0,0,0,0,0.1,0.8,4.2,7.8,0,0,0,0,12.9,29
1983,0,0,0,0,1.1,2.8,5.3,8.1,0.3,0,0,0,17.7,18
1984,0,0,0,0,0,0,3.9,12,0,0,0,0,15.9,22
1985,0,0,0,0,0,0,8.7,9.2,1,0,0,0,18.9,13
1986,0,0,0,0,0,0.3,5.1,3.6,0,0,0,0,9,38
1987,0,0,0,0,0,2.4,1.6,0,0,0,0,0,4,45
1988,0,0,0,0,0.2,0.9,3.2,7.2,0,0,0,0,11.6,33
1989,0,0,0,0,0,0,3.2,1.9,0,0,0,0,5.1,43
1990,0,0,0,0,0,0.7,6.1,12.4,0.2,0,0,0,19.4,10
1991,0,0,0,0,0.4,0.8,1.5,0.4,0,0,0,0,3.1,47
1992,0,0,0,0,0,0.3,9.9,0.2,0.5,0,0,0,10.8,35
1993,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0.3,50
1994,0,0,0,0,0,1.7,20.2,15.6,2.5,0,0,0,40.1,1
1995,0,0,0,0,0,0.1,6.5,13.6,0,0,0,0,20.2,9
1996,0,0,0,0,0,0.5,10,12.2,0,0,0,0,22.7,7
1997,0,0,0,0,0.1,3.4,6.8,6.8,1.7,0,0,0,18.8,14
1998,0,0,0,0.1,0,0,1.3,1.5,0.5,0,0,0,3.4,46
1999,0,0,0,0,0,1.7,0.5,2.4,0,0,0,0,4.6,44
2000,0,0,0,0,1,3.5,6.8,3.9,0.2,0,0,0,15.5,24
2001,0,0,0,0,0.1,1.9,8.1,5.7,0,0,0,0,15.8,23
2002,0,0,0,0,0,1.4,3.7,2.6,0.1,0,0,0,7.8,41
2003,0,0,0,0,0,0,0,1.8,0.1,0,0,0,1.9,49
2004,0,0,0,0,0.1,1.5,9.1,7.3,0,0,0,0,17.9,17
2005,0,0,0,0.2,0,3,4.2,4.7,1.4,0,0,0,13.5,28
2006,0,0,0,0,0,0.5,2.9,13.7,0,0,0,0,17.2,20
2007,0,0,0,0,0,0.4,2.1,9.5,0.2,0,0,0,12.1,31
2008,0,0,0,0,0.2,0.4,11.5,6.1,0.2,0,0,0,18.4,16
2009,0,0,0,0,0.3,3.3,0.3,1.7,0.3,0,0,0,5.8,42
2010,0,0,0,0,0,1.3,6.8,11.5,2.1,0,0,0,21.6,8
2011,0,0,0,0,0,1.8,3.6,3.9,1.1,0,0,0,10.5,36
2012,0,0,0,0,0,0,8.6,8.5,0,0,0,0,17.2,20
2013,0,0,0,0,0.5,0.6,9.7,15.6,0.2,0,0,0,26.6,4
2014,0,0,0,0,2.1,0.5,7.6,1.3,0,0,0,0,11.5,34
2015,0,0,0,0,0.8,0.7,4.3,7.8,0,0,0,0,13.6,27
2016,0,0,0,0,0,0.6,6.6,16.5,0,0,0,0,23.8,6
2017,0,0,0,0,0.8,3.5,9.6,5.5,0,0,0,0,19.4,10
2018,0,0,0,0.3,0,3,17.9,12.2,0,0,0,0,33.4,2
2019,0,0,0,0,1.1,1.5,5.1,9.5,0.1,0,0,0,17.4,19
2020,0,0,0,0,0,3.1,0.1,9.2,0,0,0,0,12.4,30
2021,0,0,0,0,0,0.2,7.7,4.1,0,0,0,0,12,32
2022,0,0,0,0,0.5,4.7,7.6,5.6,0.1,0,0,0,18.5,15
