폭염일수,,,,,,,,,,,,,,
지점/지역명 : 전남,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0.1,2.6,4.5,0.2,0,0,0,7.4,
1973,0,0,0,0,0,0,4.1,5.6,0,0,0,0,9.7,11
1974,0,0,0,0,0,0,0,4,0,0,0,0,4,35
1975,0,0,0,0,0,0,0.3,5.4,0.9,0,0,0,6.6,21
1976,0,0,0,0,0,0,0.1,0.7,0,0,0,0,0.9,44
1977,0,0,0,0,0,0,6,2.1,0.3,0,0,0,8.4,15
1978,0,0,0,0,0.3,0,7.7,4,0,0,0,0,12,7
1979,0,0,0,0,0.1,0,1,4.9,0,0,0,0,6,26
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,48
1981,0,0,0,0,0,1,6.7,0.6,0,0,0,0,8.3,16
1982,0,0,0,0,0,0.4,1.6,4.4,0,0,0,0,6.4,22
1983,0,0,0,0,0.1,0,1.1,7.4,0,0,0,0,8.7,13
1984,0,0,0,0,0,0,1.6,6.6,0,0,0,0,8.1,17
1985,0,0,0,0,0,0,3.1,5.3,0.1,0,0,0,8.6,14
1986,0,0,0,0,0,0,0.9,2.9,0,0,0,0,3.7,36
1987,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0.6,47
1988,0,0,0,0,0,0.1,1.7,3.9,0,0,0,0,5.7,27
1989,0,0,0,0,0,0,0.7,1.7,0,0,0,0,2.4,40
1990,0,0,0,0,0,0,5.4,9.7,0,0,0,0,15.1,5
1991,0,0,0,0,0,0.1,0.9,1.7,0.1,0,0,0,2.9,38
1992,0,0,0,0,0,0,2,1.6,0,0,0,0,3.6,37
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,48
1994,0,0,0,0,0,0,16.3,8,2,0,0,0,26.3,1
1995,0,0,0,0,0,0,0.3,5.4,0,0,0,0,5.7,27
1996,0,0,0,0,0,0,1.7,7.4,0,0,0,0,9.1,12
1997,0,0,0,0,0,0.4,4.4,1.3,0.3,0,0,0,6.4,22
1998,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0.9,44
1999,0,0,0,0,0,0.3,0.1,0.4,0,0,0,0,0.9,44
2000,0,0,0,0,0.3,0,0.7,1.6,0,0,0,0,2.6,39
2001,0,0,0,0,0,0.3,3.4,3.4,0,0,0,0,7.1,19
2002,0,0,0,0,0,0.1,0.9,0.6,0.1,0,0,0,1.7,42
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2004,0,0,0,0,0,0,4.3,8.7,0,0,0,0,13,6
2005,0,0,0,0,0,0,3.3,2.6,0.4,0,0,0,6.3,25
2006,0,0,0,0,0,0,0.1,11.4,0,0,0,0,11.6,9
2007,0,0,0,0,0,0.1,1.7,3.3,0,0,0,0,5.1,31
2008,0,0,0,0,0,0,5.1,1,0.3,0,0,0,6.4,22
2009,0,0,0,0,0,0.4,0,0.6,0,0,0,0,1,43
2010,0,0,0,0,0,0,0.4,4.1,0.6,0,0,0,5.1,31
2011,0,0,0,0,0,0.1,3,1.3,2.4,0,0,0,6.9,20
2012,0,0,0,0,0,0,4.9,6.9,0,0,0,0,11.7,8
2013,0,0,0,0,0,0,3,13.3,0,0,0,0,16.3,4
2014,0,0,0,0,0.4,0,1.6,0,0,0,0,0,2,41
2015,0,0,0,0,0.1,0,1.1,3.6,0,0,0,0,4.9,34
2016,0,0,0,0,0,0,3.4,15,0.1,0,0,0,18.6,3
2017,0,0,0,0,0.3,0.7,4.3,6.1,0,0,0,0,11.4,10
2018,0,0,0,0,0,0.7,12.1,13.1,0,0,0,0,26,2
2019,0,0,0,0,0,0,0.3,7.3,0,0,0,0,7.7,18
2020,0,0,0,0,0,0.3,0,5.4,0,0,0,0,5.7,27
2021,0,0,0,0,0,0,2.1,3.1,0,0,0,0,5.3,30
2022,0,0,0,0,0,0.6,2.4,1.4,0.7,0,0,0,5.1,31
