폭염일수,,,,,,,,,,,,,,
지점/지역명 : 전북,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.1,0.3,4,6.3,0.2,0,0,0,10.9,
1973,0,0,0,0,0,0.5,8,6,0,0,0,0,14.5,14
1974,0,0,0,0,0,0.2,0,6.2,0,0,0,0,6.3,38
1975,0,0,0,0,0,0,2.2,8.5,0.7,0,0,0,11.3,24
1976,0,0,0,0,0,0.7,0.3,2.8,0,0,0,0,3.8,46
1977,0,0,0,0,0,0.2,10.7,2.3,0.2,0,0,0,13.3,17
1978,0,0,0,0,0.3,0.2,15.8,6.5,0,0,0,0,22.8,4
1979,0,0,0,0,0,0,1.2,5.3,0,0,0,0,6.5,37
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1981,0,0,0,0,0,0.3,7.5,0.3,0,0,0,0,8.2,31
1982,0,0,0,0,0,0,1.8,4.3,0,0,0,0,6.2,39
1983,0,0,0,0,0,0.2,2.8,9.5,0.2,0,0,0,12.7,18
1984,0,0,0,0,0,0.5,4.2,12.5,0,0,0,0,17.2,9
1985,0,0,0,0,0,0,6.8,11.3,0,0,0,0,18.2,7
1986,0,0,0,0,0,0,3.2,2.8,0,0,0,0,6,41
1987,0,0,0,0,0,0.7,0.5,0.3,0,0,0,0,1.5,48
1988,0,0,0,0,0,0.2,4.8,9.7,0,0,0,0,14.7,13
1989,0,0,0,0,0,0,4.2,3.5,0,0,0,0,7.7,32
1990,0,0,0,0,0,0.4,6,11.1,0.1,0,0,0,17.7,8
1991,0,0,0,0,0.1,0.3,2,3,0.7,0,0,0,6.1,40
1992,0,0,0,0,0,0.1,4.6,2.6,0.1,0,0,0,7.4,35
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1994,0,0,0,0,0,0.3,19.7,8.9,0.6,0,0,0,29.4,2
1995,0,0,0,0,0,0,2.6,9,0,0,0,0,11.6,23
1996,0,0,0,0,0,0,6.1,9.6,0,0,0,0,15.7,12
1997,0,0,0,0,0,0.1,5.3,2.7,0.6,0,0,0,8.7,29
1998,0,0,0,0,0.1,0,0.4,2.4,1.3,0,0,0,4.3,43
1999,0,0,0,0,0,0.7,1.9,4.9,0.1,0,0,0,7.6,34
2000,0,0,0,0,0.3,0,5.3,5.1,0,0,0,0,10.7,26
2001,0,0,0,0,0,0.4,7,6.1,0.1,0,0,0,13.7,16
2002,0,0,0,0,0,0.4,3,1.7,0,0,0,0,5.1,42
2003,0,0,0,0,0,0,0.1,1.7,0.1,0,0,0,2,47
2004,0,0,0,0,0,0.1,6.6,10.1,0,0,0,0,16.9,10
2005,0,0,0,0,0,0.7,4.7,4.1,0.3,0,0,0,9.9,28
2006,0,0,0,0,0,0.4,3.1,15,0,0,0,0,18.6,6
2007,0,0,0,0,0,0.4,1.7,9.9,0,0,0,0,12,20
2008,0,0,0,0,0.1,0,6,4.1,1.4,0,0,0,11.7,22
2009,0,0,0,0,0,1.7,0,2.4,0,0,0,0,4.1,44
2010,0,0,0,0,0,0.3,2.3,9.6,2,0,0,0,14.1,15
2011,0,0,0,0,0,0.9,3.1,2.9,0.9,0,0,0,7.7,32
2012,0,0,0,0,0,0.3,5.9,10.3,0,0,0,0,16.4,11
2013,0,0,0,0,0,0.6,5.6,14.3,0.1,0,0,0,20.6,5
2014,0,0,0,0,1.1,0,2.6,0.1,0,0,0,0,3.9,45
2015,0,0,0,0,0.3,0.3,3.3,6.4,0,0,0,0,10.3,27
2016,0,0,0,0,0,0,7.7,17.7,0,0,0,0,25.4,3
2017,0,0,0,0,0,0.7,4.7,6.7,0,0,0,0,12.1,19
2018,0,0,0,0,0,1,16.1,17.6,0,0,0,0,34.7,1
2019,0,0,0,0,0,0,1.9,10.1,0,0,0,0,12,20
2020,0,0,0,0,0,1.1,0,5.7,0,0,0,0,6.9,36
2021,0,0,0,0,0,0.1,8.3,2.4,0,0,0,0,10.9,25
2022,0,0,0,0,0,0.7,5.6,2,0.1,0,0,0,8.4,30
