폭염일수,,,,,,,,,,,,,,
지점/지역명 : 제주,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,1.5,2.3,0.1,0,0,0,3.9,
1973,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,47
1974,0,0,0,0,0,0,0,1.7,0,0,0,0,1.7,34
1975,0,0,0,0,0,0,0,1,0.3,0,0,0,1.3,38
1976,0,0,0,0,0,0,0,1.7,0,0,0,0,1.7,34
1977,0,0,0,0,0,0,2,1,0,0,0,0,3,20
1978,0,0,0,0,0,0.7,1,0.3,0,0,0,0,2,28
1979,0,0,0,0,0,0,0.3,1,0,0,0,0,1.3,38
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1981,0,0,0,0,0,0,1.3,1.3,0,0,0,0,2.7,23
1982,0,0,0,0,0,0,0.7,0.7,0,0,0,0,1.3,38
1983,0,0,0,0,0,0,1,2.3,0,0,0,0,3.3,18
1984,0,0,0,0,0,0,0.7,0.3,0,0,0,0,1,42
1985,0,0,0,0,0,0,0.3,1.7,0,0,0,0,2,28
1986,0,0,0,0,0,0,0.3,0.7,0,0,0,0,1,42
1987,0,0,0,0,0,0,0.7,1,0,0,0,0,1.7,34
1988,0,0,0,0,0,0,0.8,0.5,0,0,0,0,1.3,38
1989,0,0,0,0,0,0,0.3,0.5,0,0,0,0,0.8,46
1990,0,0,0,0,0,0,0.5,4.3,0.3,0,0,0,5,8
1991,0,0,0,0,0,0,1,0.5,0.3,0,0,0,1.8,33
1992,0,0,0,0,0,0,1.8,0.3,0.3,0,0,0,2.3,25
1993,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,48
1994,0,0,0,0,0,0.3,4.8,0.5,0,0,0,0,5.5,7
1995,0,0,0,0,0,0,1.5,2.5,0,0,0,0,4,11
1996,0,0,0,0,0,0,1.8,2.3,0,0,0,0,4,11
1997,0,0,0,0,0,0,1.5,0.3,0.3,0,0,0,2,28
1998,0,0,0,0,0,0,2,2.5,0,0,0,0,4.5,9
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2000,0,0,0,0,0,0,1.3,1,0,0,0,0,2.3,25
2001,0,0,0,0,0,0,1.5,2.8,0,0,0,0,4.3,10
2002,0,0,0,0,0,0,0.5,0.3,0.3,0,0,0,1,42
2003,0,0,0,0,0,0,0.3,2,1.3,0,0,0,3.5,16
2004,0,0,0,0,0,0,3.5,4.5,0,0,0,0,8,6
2005,0,0,0,0,0,0.3,0.5,2.5,0,0,0,0,3.3,18
2006,0,0,0,0,0,0,0.8,2,0,0,0,0,2.8,22
2007,0,0,0,0,0,0,0.5,1.5,0,0,0,0,2,28
2008,0,0,0,0,0,0,1.5,0.8,0,0,0,0,2.3,25
2009,0,0,0,0,0,0,1,1.5,0,0,0,0,2.5,24
2010,0,0,0,0,0,0,0,3.5,0.3,0,0,0,3.8,13
2011,0,0,0,0,0,0.3,1.5,1.8,0,0,0,0,3.5,16
2012,0,0,0,0,0,0,0.8,2.3,0,0,0,0,3,20
2013,0,0,0,0,0,0,3.3,10,0.3,0,0,0,13.5,1
2014,0,0,0,0,0,0,1,0,0,0,0,0,1,42
2015,0,0,0,0,0,0,1.5,0.5,0,0,0,0,2,28
2016,0,0,0,0,0,0,2,6,0.3,0,0,0,8.3,5
2017,0,0,0,0,0,0,5.8,6,0,0,0,0,11.8,2
2018,0,0,0,0,0,0,2.8,6.3,0,0,0,0,9,4
2019,0,0,0,0,0.3,0,0.3,1,0,0,0,0,1.5,37
2020,0,0,0,0,0,0,0.5,3.3,0,0,0,0,3.8,13
2021,0,0,0,0,0,0,1.8,1.8,0.3,0,0,0,3.8,13
2022,0,0,0,0,0,1.3,2.3,5.5,0.3,0,0,0,9.3,3
