폭염일수,,,,,,,,,,,,,,
지점/지역명 : 충남,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0.5,3.5,6.1,0.1,0,0,0,10.2,
1973,0,0,0,0,0,0,7,4.3,0,0,0,0,11.3,17
1974,0,0,0,0,0,0,0,3.8,0,0,0,0,3.8,43
1975,0,0,0,0,0,0.2,1.3,7,0.3,0,0,0,8.8,25
1976,0,0,0,0,0,0.5,0.3,0.5,0,0,0,0,1.3,45
1977,0,0,0,0,0,0.7,8.5,1.7,0,0,0,0,10.8,20
1978,0,0,0,0,0,0,11.5,3,0,0,0,0,14.5,11
1979,0,0,0,0,0,0,0.8,3.2,0,0,0,0,4,41
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1981,0,0,0,0,0,0.5,6.5,0.2,0,0,0,0,7.2,29
1982,0,0,0,0,0,0,2.8,5.2,0,0,0,0,8,27
1983,0,0,0,0,0,1,1.2,7.7,0.2,0,0,0,10,21
1984,0,0,0,0,0,1,4.2,9.7,0,0,0,0,14.8,10
1985,0,0,0,0,0,0,5.7,10,0,0,0,0,15.7,7
1986,0,0,0,0,0,0,2.3,1.8,0,0,0,0,4.2,39
1987,0,0,0,0,0,0.3,0.7,0.3,0,0,0,0,1.3,45
1988,0,0,0,0,0,0,2,10.5,0,0,0,0,12.5,14
1989,0,0,0,0,0,0,3.3,3.7,0,0,0,0,7,31
1990,0,0,0,0,0,0,5.7,10.8,0.2,0,0,0,16.7,5
1991,0,0,0,0,0,0.2,0.7,3.5,0,0,0,0,4.3,37
1992,0,0,0,0,0,0,4.2,2.5,0,0,0,0,6.7,34
1993,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,49
1994,0,0,0,0,0,1.3,20.8,9.8,0.2,0,0,0,32.2,2
1995,0,0,0,0,0,0,2.3,6.3,0,0,0,0,8.7,26
1996,0,0,0,0,0,0.3,4.5,13.3,0,0,0,0,18.2,4
1997,0,0,0,0,0,1.7,8.7,4.8,0.2,0,0,0,15.3,9
1998,0,0,0,0,0,0,0,0.5,1.5,0,0,0,2,44
1999,0,0,0,0,0,1,2.2,4,0,0,0,0,7.2,29
2000,0,0,0,0,0.2,0.7,4.2,7.2,0,0,0,0,12.2,16
2001,0,0,0,0,0,1.3,3.8,7.5,0.2,0,0,0,12.8,13
2002,0,0,0,0,0,0.3,2.7,1,0,0,0,0,4,41
2003,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,48
2004,0,0,0,0,0,1,5.2,9.5,0,0,0,0,15.7,7
2005,0,0,0,0,0,0,3.2,3.5,0.2,0,0,0,6.8,32
2006,0,0,0,0,0,0,0.5,9.5,0,0,0,0,10,21
2007,0,0,0,0,0,0.3,0.3,6,0.2,0,0,0,6.8,32
2008,0,0,0,0,0,0,3.5,4,0,0,0,0,7.5,28
2009,0,0,0,0,0,0.2,0,0.8,0,0,0,0,1,47
2010,0,0,0,0,0,0.2,1.3,7.3,1,0,0,0,9.8,23
2011,0,0,0,0,0,0.2,1.8,2.2,0.2,0,0,0,4.3,37
2012,0,0,0,0,0,0.2,4.5,9.8,0,0,0,0,14.5,11
2013,0,0,0,0,0,0,1,10.3,0,0,0,0,11.3,17
2014,0,0,0,0,0.7,0,3.5,0,0,0,0,0,4.2,39
2015,0,0,0,0,0,0.5,1.5,4.7,0,0,0,0,6.7,34
2016,0,0,0,0,0,0,3.8,18.2,0,0,0,0,22,3
2017,0,0,0,0,0,1.3,2.8,5.2,0,0,0,0,9.3,24
2018,0,0,0,0,0,0.5,14.5,17.8,0,0,0,0,32.8,1
2019,0,0,0,0,0.2,0.3,2.5,9.3,0,0,0,0,12.3,15
2020,0,0,0,0,0,1.8,0,4.7,0,0,0,0,6.5,36
2021,0,0,0,0,0,0.2,12.3,3.5,0,0,0,0,16,6
2022,0,0,0,0,0,1.2,7.7,2,0.3,0,0,0,11.2,19
