폭염일수,,,,,,,,,,,,,,
지점/지역명 : 충북,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.1,0.5,3.6,5.6,0.1,0,0,0,9.9,
1973,0,0,0,0,0,0,10,5,0,0,0,0,15,7
1974,0,0,0,0,0,0,0,4,0,0,0,0,4,39
1975,0,0,0,0,0,0.6,1,4.2,0.6,0,0,0,6.4,30
1976,0,0,0,0,0,0.6,0.4,0.2,0,0,0,0,1.2,46
1977,0,0,0,0,0,0.8,8,1.4,0,0,0,0,10.2,21
1978,0,0,0,0,0,0,11,3,0,0,0,0,14,12
1979,0,0,0,0,0,0,1.2,2.4,0,0,0,0,3.6,41
1980,0,0,0,0,0,0.4,0,0,0,0,0,0,0.4,48
1981,0,0,0,0,0,0.2,6.2,0.4,0,0,0,0,6.8,29
1982,0,0,0,0,0,0,3.2,6.4,0,0,0,0,9.6,25
1983,0,0,0,0,0,1.6,0.2,6.8,0,0,0,0,8.6,26
1984,0,0,0,0,0,1.4,4.2,9,0,0,0,0,14.6,8
1985,0,0,0,0,0,0,6.4,7.8,0.2,0,0,0,14.4,9
1986,0,0,0,0,0,0,1.6,2.4,0,0,0,0,4,39
1987,0,0,0,0,0,1.2,0.4,0.4,0,0,0,0,2,43
1988,0,0,0,0,0,0,2,10.4,0,0,0,0,12.4,14
1989,0,0,0,0,0,0.2,2.8,1.4,0,0,0,0,4.4,36
1990,0,0,0,0,0,0,6,11.8,0.4,0,0,0,18.2,4
1991,0,0,0,0,0,0,0.4,3.8,0,0,0,0,4.2,37
1992,0,0,0,0,0,0,3.6,1.8,0,0,0,0,5.4,34
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1994,0,0,0,0,0,0.8,19.4,8.6,0,0,0,0,28.8,2
1995,0,0,0,0,0,0,1.6,6,0,0,0,0,7.6,28
1996,0,0,0,0,0,0.2,4.8,10.6,0,0,0,0,15.6,5
1997,0,0,0,0,0,0.8,5.2,1.8,0.4,0,0,0,8.2,27
1998,0,0,0,0,0,0,0.2,0.2,0.6,0,0,0,1,47
1999,0,0,0,0,0,0.2,1,3,0,0,0,0,4.2,37
2000,0,0,0,0,0.2,0.8,4.4,4.6,0,0,0,0,10,24
2001,0,0,0,0,0,1.6,3.8,6.6,0,0,0,0,12,16
2002,0,0,0,0,0,0.4,2.4,0.6,0,0,0,0,3.4,42
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2004,0,0,0,0,0,1,5.4,8,0,0,0,0,14.4,9
2005,0,0,0,0.2,0,0.2,2.2,3.2,0.2,0,0,0,6,33
2006,0,0,0,0,0,0,0.2,12.6,0,0,0,0,12.8,13
2007,0,0,0,0,0,0.6,0,4,0.4,0,0,0,5,35
2008,0,0,0,0,0,0,6.2,4.4,0,0,0,0,10.6,18
2009,0,0,0,0,0,0.6,0,1.2,0,0,0,0,1.8,45
2010,0,0,0,0,0,0,2.2,6.8,1.2,0,0,0,10.2,21
2011,0,0,0,0,0,0,1,1,0,0,0,0,2,43
2012,0,0,0,0,0,0.2,4.4,7.8,0,0,0,0,12.4,14
2013,0,0,0,0,0,0,1.4,9.6,0,0,0,0,11,17
2014,0,0,0,0,1.2,0,4,1,0,0,0,0,6.2,31
2015,0,0,0,0,0,0.6,3,6.6,0,0,0,0,10.2,21
2016,0,0,0,0,0,0,5.2,21.2,0,0,0,0,26.4,3
2017,0,0,0,0,0.2,2,4.8,3.6,0,0,0,0,10.6,18
2018,0,0,0,0,0,1,18,17,0,0,0,0,36,1
2019,0,0,0,0,1.4,0.6,3.8,9.4,0,0,0,0,15.2,6
2020,0,0,0,0,0,2.2,0,4,0,0,0,0,6.2,31
2021,0,0,0,0,0,0.2,10.6,3.4,0,0,0,0,14.2,11
2022,0,0,0,0,0,1.6,6.4,2.2,0.4,0,0,0,10.6,18
