요소,평균기온(℃),이산화탄소 농도
1980년,12,338.91
1981년,12.2,340.11
1982년,13.3,340.86
1983년,13.1,342.53
1984년,12.5,344.07
1985년,12.8,345.54
1986년,12.2,346.97
1987년,13,348.68
1988년,13,351.16
1989년,13.7,352.78
1990년,13.9,354.05
1991년,13.2,355.39
1992년,13.5,356.1
1993년,12.8,356.84
1994년,14.4,358.33
1995년,13.2,360.18
1996년,13,361.93
1997년,13.7,363.05
1998년,14.4,365.7
1999년,13.9,367.8
2000년,13.6,368.97
2001년,13.8,370.57
2002년,13.7,372.59
2003년,13.3,375.15
2004년,14,376.95
2005년,13.1,378.97
2006년,13.7,381.14
2007년,14.2,382.9
2008년,13.9,385.02
2009년,13.8,386.5
2010년,13.4,388.76
2011년,13.1,390.63
2012년,13.1,392.65
2013년,13.7,395.39
2014년,14,397.34
2015년,14.2,399.65
2016년,14.3,403.09
2017년,13.9,405.22
2018년,13.8,407.61
2019년,14.4,410.07
2020년,14,412.44
2021년,14.5,414.71
2022년,14.1,417.06
