
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 경북
기간 : 1973~2022 05~09

년월,폭염일수,평균 최고기온(℃)
1973-05,0.0,22.8
1973-06,0.1,25.9
1973-07,13.9,32.2
1973-08,13.0,32.2
1973-09,0.0,25.7
1974-05,0.0,23.5
1974-06,0.5,26.2
1974-07,0.0,25.3
1974-08,8.6,30.4
1974-09,0.0,26.1
1975-05,0.0,22.1
1975-06,0.5,26.0
1975-07,6.5,29.7
1975-08,9.3,31.4
1975-09,1.5,27.2
1976-05,0.0,23.2
1976-06,0.5,25.9
1976-07,3.1,27.4
1976-08,4.4,28.6
1976-09,0.0,24.9
1977-05,0.0,23.8
1977-06,0.8,26.1
1977-07,10.2,31.0
1977-08,2.6,28.5
1977-09,0.1,26.6
1978-05,0.5,25.5
1978-06,0.7,27.1
1978-07,10.2,31.6
1978-08,8.6,31.1
1978-09,0.4,26.1
1979-05,0.2,22.8
1979-06,0.1,26.9
1979-07,2.4,28.5
1979-08,4.2,29.6
1979-09,0.0,24.8
1980-05,0.0,24.1
1980-06,1.5,27.9
1980-07,0.5,26.6
1980-08,0.0,25.1
1980-09,0.0,24.9
1981-05,0.4,23.9
1981-06,2.0,26.8
1981-07,7.6,30.2
1981-08,1.8,28.9
1981-09,0.0,24.7
1982-05,0.1,24.8
1982-06,0.6,27.4
1982-07,3.5,29.2
1982-08,6.4,29.7
1982-09,0.0,25.3
1983-05,1.0,23.9
1983-06,2.6,26.6
1983-07,4.6,28.2
1983-08,7.5,30.4
1983-09,0.3,25.9
1984-05,0.0,24.0
1984-06,0.0,26.6
1984-07,3.5,28.9
1984-08,10.8,31.4
1984-09,0.0,25.2
1985-05,0.0,23.5
1985-06,0.0,25.2
1985-07,7.8,30.2
1985-08,8.7,30.8
1985-09,0.8,25.1
1986-05,0.0,23.5
1986-06,0.3,25.3
1986-07,4.5,26.6
1986-08,3.2,29.5
1986-09,0.0,24.5
1987-05,0.0,23.8
1987-06,2.1,27.2
1987-07,1.3,28.6
1987-08,0.0,28.4
1987-09,0.0,24.8
1988-05,0.3,23.6
1988-06,0.9,26.5
1988-07,3.0,27.0
1988-08,7.7,30.2
1988-09,0.0,25.3
1989-05,0.0,24.4
1989-06,0.0,25.4
1989-07,2.8,27.9
1989-08,1.6,28.9
1989-09,0.0,24.8
1990-05,0.0,22.6
1990-06,0.7,26.3
1990-07,6.1,29.9
1990-08,12.4,32.1
1990-09,0.2,25.4
1991-05,0.4,23.0
1991-06,0.8,27.8
1991-07,1.5,27.8
1991-08,0.4,27.3
1991-09,0.0,25.4
1992-05,0.0,22.1
1992-06,0.3,26.5
1992-07,9.9,31.1
1992-08,0.2,27.6
1992-09,0.5,25.3
1993-05,0.0,23.1
1993-06,0.2,25.6
1993-07,0.0,25.7
1993-08,0.1,25.9
1993-09,0.0,25.7
1994-05,0.0,23.9
1994-06,1.7,27.1
1994-07,20.2,33.8
1994-08,15.6,32.8
1994-09,2.5,27.5
1995-05,0.0,23.0
1995-06,0.1,25.2
1995-07,6.5,29.7
1995-08,13.6,32.1
1995-09,0.0,24.5
1996-05,0.0,23.9
1996-06,0.5,25.1
1996-07,10.0,29.1
1996-08,12.2,30.3
1996-09,0.0,26.8
1997-05,0.1,23.8
1997-06,3.4,28.2
1997-07,6.8,29.4
1997-08,6.8,29.9
1997-09,1.7,25.6
1998-05,0.0,24.4
1998-06,0.0,23.9
1998-07,1.3,27.3
1998-08,1.5,28.6
1998-09,0.5,26.8
1999-05,0.0,23.9
1999-06,1.7,26.9
1999-07,0.5,27.4
1999-08,2.4,28.1
1999-09,0.0,26.6
2000-05,1.0,24.5
2000-06,3.5,27.0
2000-07,6.8,30.8
2000-08,3.9,29.6
2000-09,0.2,24.1
2001-05,0.1,24.9
2001-06,1.9,27.1
2001-07,8.1,30.9
2001-08,5.7,30.4
2001-09,0.0,25.9
2002-05,0.0,22.1
2002-06,1.4,26.9
2002-07,3.7,28.6
2002-08,2.6,27.1
2002-09,0.1,24.9
2003-05,0.0,22.5
2003-06,0.0,25.7
2003-07,0.0,25.3
2003-08,1.8,27.9
2003-09,0.1,25.4
2004-05,0.1,23.4
2004-06,1.5,27.4
2004-07,9.1,30.4
2004-08,7.3,29.2
2004-09,0.0,25.3
2005-05,0.0,23.6
2005-06,3.0,28.4
2005-07,4.2,29.3
2005-08,4.7,29.8
2005-09,1.4,25.7
2006-05,0.0,22.9
2006-06,0.5,27.0
2006-07,2.9,26.5
2006-08,13.7,31.7
2006-09,0.0,24.6
2007-05,0.0,24.5
2007-06,0.4,26.8
2007-07,2.1,27.3
2007-08,9.5,30.7
2007-09,0.2,25.2
2008-05,0.2,24.2
2008-06,0.4,24.7
2008-07,11.5,31.5
2008-08,6.1,29.1
2008-09,0.2,26.5
2009-05,0.3,25.4
2009-06,3.3,27.9
2009-07,0.3,27.8
2009-08,1.7,28.4
2009-09,0.3,26.4
2010-05,0.0,23.6
2010-06,1.3,28.4
2010-07,6.8,30.1
2010-08,11.5,31.6
2010-09,2.1,26.8
2011-05,0.0,22.7
2011-06,1.8,27.8
2011-07,3.6,29.2
2011-08,3.9,29.1
2011-09,1.1,26.1
2012-05,0.0,24.3
2012-06,0.0,26.6
2012-07,8.6,30.3
2012-08,8.5,30.5
2012-09,0.0,25.4
2013-05,0.5,24.8
2013-06,0.6,27.3
2013-07,9.7,31.5
2013-08,15.6,32.9
2013-09,0.2,26.3
2014-05,2.1,26.0
2014-06,0.5,26.4
2014-07,7.6,30.3
2014-08,1.3,27.3
2014-09,0.0,26.1
2015-05,0.8,26.2
2015-06,0.7,27.1
2015-07,4.3,28.6
2015-08,7.8,30.6
2015-09,0.0,25.5
2016-05,0.0,25.6
2016-06,0.6,27.6
2016-07,6.6,29.9
2016-08,16.5,32.0
2016-09,0.0,25.2
2017-05,0.8,26.3
2017-06,3.5,28.2
2017-07,9.6,31.1
2017-08,5.5,29.7
2017-09,0.0,26.2
2018-05,0.0,23.7
2018-06,3.0,28.1
2018-07,17.9,31.9
2018-08,12.2,31.9
2018-09,0.0,25.0
2019-05,1.1,26.4
2019-06,1.5,27.2
2019-07,5.1,29.4
2019-08,9.5,31.1
2019-09,0.1,26.4
2020-05,0.0,23.7
2020-06,3.1,28.5
2020-07,0.1,25.7
2020-08,9.2,31.0
2020-09,0.0,24.8
2021-05,0.0,22.2
2021-06,0.2,26.4
2021-07,7.7,30.4
2021-08,4.1,28.6
2021-09,0.0,25.2
2022-05,0.5,25.6
2022-06,4.7,27.9
2022-07,7.6,30.3
2022-08,5.6,29.3
2022-09,0.1,25.7

