
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 제주
기간 : 1973~2022 05~09

년월,폭염일수,평균 최고기온(℃)
1973-05,0.0,21.3
1973-06,0.0,24.3
1973-07,0.0,29.2
1973-08,0.5,29.8
1973-09,0.0,25.6
1974-05,0.0,21.6
1974-06,0.0,23.6
1974-07,0.0,25.6
1974-08,1.3,29.2
1974-09,0.0,26.0
1975-05,0.0,19.7
1975-06,0.0,23.9
1975-07,0.0,28.8
1975-08,0.8,30.8
1975-09,0.3,28.4
1976-05,0.0,20.2
1976-06,0.0,22.8
1976-07,0.0,25.6
1976-08,1.3,30.1
1976-09,0.0,24.6
1977-05,0.0,20.5
1977-06,0.0,23.1
1977-07,1.5,29.7
1977-08,0.8,27.9
1977-09,0.0,26.3
1978-05,0.0,22.1
1978-06,0.5,25.1
1978-07,0.8,30.2
1978-08,0.3,30.1
1978-09,0.0,26.6
1979-05,0.0,21.5
1979-06,0.0,24.8
1979-07,0.3,27.4
1979-08,0.8,29.7
1979-09,0.0,26.0
1980-05,0.0,21.3
1980-06,0.0,24.7
1980-07,0.0,26.9
1980-08,0.0,26.3
1980-09,0.0,24.9
1981-05,0.0,21.5
1981-06,0.0,24.4
1981-07,1.0,30.1
1981-08,1.0,30.0
1981-09,0.0,25.9
1982-05,0.0,22.7
1982-06,0.0,24.8
1982-07,0.5,27.2
1982-08,0.5,29.4
1982-09,0.0,25.2
1983-05,0.0,21.8
1983-06,0.0,24.1
1983-07,0.8,27.7
1983-08,1.8,30.0
1983-09,0.0,27.2
1984-05,0.0,20.8
1984-06,0.0,24.8
1984-07,0.5,29.6
1984-08,0.3,30.1
1984-09,0.0,26.3
1985-05,0.0,21.8
1985-06,0.0,24.3
1985-07,0.3,29.5
1985-08,1.3,30.2
1985-09,0.0,27.8
1986-05,0.0,21.6
1986-06,0.0,25.1
1986-07,0.3,26.9
1986-08,0.5,29.9
1986-09,0.0,24.8
1987-05,0.0,21.1
1987-06,0.0,24.9
1987-07,0.5,27.2
1987-08,0.8,29.7
1987-09,0.0,25.3
1988-05,0.0,21.8
1988-06,0.0,24.7
1988-07,0.8,29.3
1988-08,0.5,29.4
1988-09,0.0,26.3
1989-05,0.0,21.3
1989-06,0.0,23.8
1989-07,0.3,28.1
1989-08,0.5,28.8
1989-09,0.0,26.6
1990-05,0.0,21.6
1990-06,0.0,25.7
1990-07,0.5,29.5
1990-08,4.3,31.8
1990-09,0.3,26.9
1991-05,0.0,20.7
1991-06,0.0,24.4
1991-07,1.0,28.2
1991-08,0.5,28.1
1991-09,0.3,26.4
1992-05,0.0,21.6
1992-06,0.0,23.9
1992-07,1.8,28.7
1992-08,0.3,29.9
1992-09,0.3,27.3
1993-05,0.0,21.1
1993-06,0.0,24.4
1993-07,0.5,26.5
1993-08,0.0,27.2
1993-09,0.0,25.9
1994-05,0.0,22.5
1994-06,0.3,24.6
1994-07,4.8,31.5
1994-08,0.5,30.4
1994-09,0.0,26.8
1995-05,0.0,20.7
1995-06,0.0,23.3
1995-07,1.5,28.2
1995-08,2.5,31.1
1995-09,0.0,25.7
1996-05,0.0,21.8
1996-06,0.0,25.3
1996-07,1.8,27.9
1996-08,2.3,30.2
1996-09,0.0,26.8
1997-05,0.0,22.3
1997-06,0.0,25.8
1997-07,1.5,28.6
1997-08,0.3,29.0
1997-09,0.3,26.2
1998-05,0.0,22.4
1998-06,0.0,23.9
1998-07,2.0,29.4
1998-08,2.5,30.6
1998-09,0.0,27.6
1999-05,0.0,21.9
1999-06,0.0,24.8
1999-07,0.0,26.5
1999-08,0.0,28.0
1999-09,0.0,27.5
2000-05,0.0,21.7
2000-06,0.0,25.1
2000-07,1.3,29.8
2000-08,1.0,31.0
2000-09,0.0,25.8
2001-05,0.0,22.7
2001-06,0.0,25.2
2001-07,1.5,30.4
2001-08,2.8,30.6
2001-09,0.0,26.6
2002-05,0.0,21.4
2002-06,0.0,25.5
2002-07,0.5,27.9
2002-08,0.3,28.8
2002-09,0.3,26.4
2003-05,0.0,22.0
2003-06,0.0,25.4
2003-07,0.3,27.4
2003-08,2.0,30.1
2003-09,1.3,28.1
2004-05,0.0,22.3
2004-06,0.0,25.8
2004-07,3.5,30.7
2004-08,4.5,31.4
2004-09,0.0,27.2
2005-05,0.0,22.0
2005-06,0.3,26.0
2005-07,0.5,29.1
2005-08,2.5,29.7
2005-09,0.0,28.0
2006-05,0.0,21.3
2006-06,0.0,24.5
2006-07,0.8,28.4
2006-08,2.0,31.3
2006-09,0.0,25.6
2007-05,0.0,23.2
2007-06,0.0,24.7
2007-07,0.5,28.0
2007-08,1.5,31.3
2007-09,0.0,27.0
2008-05,0.0,21.7
2008-06,0.0,23.4
2008-07,1.5,30.3
2008-08,0.8,30.3
2008-09,0.0,27.2
2009-05,0.0,23.4
2009-06,0.0,25.6
2009-07,1.0,28.4
2009-08,1.5,28.9
2009-09,0.0,26.7
2010-05,0.0,21.6
2010-06,0.0,24.6
2010-07,0.0,28.8
2010-08,3.5,31.5
2010-09,0.3,28.0
2011-05,0.0,21.8
2011-06,0.3,24.3
2011-07,1.5,30.0
2011-08,1.8,28.9
2011-09,0.0,27.2
2012-05,0.0,23.2
2012-06,0.0,25.1
2012-07,0.8,29.0
2012-08,2.3,30.5
2012-09,0.0,25.7
2013-05,0.0,22.7
2013-06,0.0,24.9
2013-07,3.3,31.0
2013-08,10.0,32.3
2013-09,0.3,27.9
2014-05,0.0,23.2
2014-06,0.0,24.6
2014-07,1.0,28.0
2014-08,0.0,27.8
2014-09,0.0,26.9
2015-05,0.0,22.8
2015-06,0.0,24.7
2015-07,1.5,27.9
2015-08,0.5,29.2
2015-09,0.0,25.9
2016-05,0.0,22.5
2016-06,0.0,24.9
2016-07,2.0,29.4
2016-08,6.0,31.1
2016-09,0.3,26.4
2017-05,0.0,23.3
2017-06,0.0,25.2
2017-07,5.8,31.4
2017-08,6.0,31.7
2017-09,0.0,27.3
2018-05,0.0,22.5
2018-06,0.0,25.3
2018-07,2.8,29.8
2018-08,6.3,31.2
2018-09,0.0,26.7
2019-05,0.3,23.7
2019-06,0.0,24.8
2019-07,0.3,27.3
2019-08,1.0,30.2
2019-09,0.0,26.8
2020-05,0.0,22.2
2020-06,0.0,25.3
2020-07,0.5,26.3
2020-08,3.3,31.0
2020-09,0.0,25.5
2021-05,0.0,22.6
2021-06,0.0,26.1
2021-07,1.8,29.7
2021-08,1.8,29.5
2021-09,0.3,27.3
2022-05,0.0,22.8
2022-06,1.3,25.7
2022-07,2.3,30.4
2022-08,5.5,31.1
2022-09,0.3,26.9

